isbn,titre,auteur,categorie,prix_vente_eur,stock,nb_pages,annee_premiere_publication
9781508217022,The Eyes of the Dragon,Stephen King,Fantasy,5.52,17,382,1959
9789584275097,"Yo, Julia",Santiago Posteguillo,Historical Fiction,4.72,9,698,2014
9781804990278,Interesting Times,Terry Pratchett,Fantasy,26.91,1,352,1994
9781467787789,Il Paradiso,Dante Alighieri,Classics,20.56,10,,
9789871144686,Das Schloß,Franz Kafka,Classics,24.59,5,385,1926
9782021011968,Diary of a Wimpy Kid,Jeff Kinney,Fiction,6.26,5,224,2007
9786020332116,Matahari,Tere Liye,Travel,20.15,17,,
9781574535587,A Wizard of Earthsea,Ursula K. Le Guin,Fiction,8.43,43,,
9780385094436,The discovery of India,Jawaharlal Nehru,History,6.11,25,582,1946
9798701966169,The Picture of Dorian Gray,,Fiction,37.96,8,246,1890
9789024512799,Misery,Stephen King,Fiction,22.11,27,382,1978
9781588810403,Books of Blood Volume One,Clive Barker,Horror,22.21,42,,
9780263130249,Intangible Dream,,Romance,6.00,1,192,1992
9780757910869,Harry Potter and the Chamber of Secrets,,Music,19.70,25,22,2003
9780263098839,Confirmed bachelor,Roberta Leigh,Romance,5.24,20,190,1981
9781101137833,Four Past Midnight,Stephen King,Horror,28.91,23,,
9780263108262,Season of Mists,Anne Mather,Romance,25.35,33,,
9788435034821,"I, Robot",Isaac Asimov,Science,12.34,10,,
9798739934543,The Man in the Brown Suit,Agatha Christie,Mystery,11.36,22,,
9780071772204,Crucial Conversations,Kerry Patterson,Business,9.73,6,272,2001
9788371501531,Dragons of Winter Night,Margaret Weis,Fantasy,31.41,41,,
9780416225907,Now we are six,A. A. Milne,Poetry,20.92,36,,
9780313207693,A short history of chemistry,Isaac Asimov,History,24.48,40,263,1965
9780804168441,Percy Jackson's Greek Gods,Rick Riordan,Childrens,15.69,28,406,2006
9780028729206,Versuch einer Anweisung die Flöte traversiere zu spielen,Johann Joachim Quantz,Music,14.22,3,,
9788494945786,Night sky with exit wounds,,Poetry,5.83,23,141,2016
9781101192740,Desperation,,Horror,34.78,39,616,1996
9798454025748,The Innocence of Father Brown (Father Brown Mystery),Gilbert Keith Chesterton,Mystery,38.28,2,208,1583
9786525917313,薬屋のひとりごと 4,日向夏,Historical Fiction,15.88,30,194,2021
9780970373908,The Lydian chromatic concept of tonal organization,George Russell,Music,33.21,21,252,2001
9789020554113,Onyx Storm,,Fantasy,5.89,45,544,2025
9780547524009,"Old Patagonian Express, The",Paul Theroux,Travel,10.12,23,432,1979
9781721284443,The Sweetest Oblivion,Danielle Lori,Romance,28.53,3,391,2018
9781500420536,Suicide Med,Freida McFadden,Mystery,7.85,43,522,2014
9780062273208,The Hard Thing About Hard Things,Ben Horowitz,Business,38.64,38,145,2014
9780263096347,Crescendo,Charlotte Lamb,Music,9.51,22,187,1980
9781665141253,Röde Orm,Frans Gunnar Bengtsson,Historical Fiction,9.06,45,,
9780020701705,Paradise Lost,John Milton,Poetry,32.52,8,333,1667
9780575073241,Broken Angels,Richard K. Morgan,Science Fiction,28.76,33,440,2003
9789367901229,Thank You for Leaving,Rithvik Singh,Poetry,5.15,19,,
9780843929959,Forbidden Fires,Madeline Baker,Historical Fiction,21.71,14,,
9798596021639,"Frankenstein; or, The Modern Prometheus",Mary Shelley,Fiction,32.40,32,240,1818
9780263119763,Miracle man,Joanna Mansell,Travel,5.84,21,187,1988
9780143469131,I Don't Love You Anymore,Rithvik Singh,Poetry,9.96,11,184,2024
9780800854539,Music notation,Gardner Read,Music,10.36,28,482,1964
9783849536206,Die Aufzeichnungen des Malte Laurids Brigge,Rainer Maria Rilke,Classics,38.82,39,,
9780792483809,The Black Swan,Eleanor Burford,Historical Fiction,23.40,19,,
9783442454181,The Queen of the Damned,Anne Rice,Horror,11.37,43,573,1988
9780241430903,Elon Musk,Ashlee Vance,Business,14.47,24,396,2013
9781250883520,Hell House,Richard Matheson,Horror,11.57,38,268,1971
9780060291693,Where the Sidewalk Ends,Shel Silverstein,Poetry,35.44,35,,
9791020924636,The Dawn of Everything,David Graeber,History,8.91,5,704,2021
9783442424504,Snow Crash,Neal Stephenson,Science,9.72,27,460,1992
9780788729386,Notes from a small island,Bill Bryson,Travel,35.82,1,,
9798893311020,The 1-page marketing plan,Allan Dib,Business,18.17,5,232,2016
9780606404518,Diary of a Wimpy Kid,,Fiction,34.21,41,218,2017
9780750504355,Devil and the Deep Sea,,Romance,36.98,30,212,1988
9780263784701,Temporary Bride,,Romance,20.38,0,190,1988
9781955876162,The Cruel Prince,,Fiction,9.79,38,370,2018
9781725530911,The Cask of Amontillado,,Classics,15.16,3,30,1846
9780825616495,SOLO PLUS,Music Sales Corporation,Music,6.72,31,,
9780449908587,The happy isles of Oceania,,Travel,13.06,9,529,1992
9780061542954,Fire and Ice,,Fantasy,24.70,11,,
9789994714094,Elephants Can Remember,,Mystery,6.90,33,224,1969
9780061244650,No Man's Bride,Shana Galen,Historical Fiction,5.22,30,384,2006
9780593109069,Looking for Alaska,John Green,Childrens,30.96,22,,
9780263137958,Turkish Delights,Anne Weale,Travel,26.74,37,190,1993
9780141018980,A Room of One's Own,Virginia Woolf,History,23.83,41,143,1929
9780071332484,Pitch anything,Oren Klaff,Business,29.12,40,,
9780393091809,Gradus,,Music,37.90,2,,
9781544739366,As a man thinketh,,Business,5.98,19,,
9781857987386,Minority Report,Philip K. Dick,Science,13.47,41,304,1998
9780307815651,On a pale horse,Piers Anthony,Fantasy,35.15,21,,
9783464107676,The Eagle of the Ninth. 1400 Grundwörter.,Rosemary Sutcliff,History,18.66,28,,
9780862201234,The Walking Drum,William johnstone,Historical Fiction,22.07,31,468,1984
9785882156922,Le petit prince,Antoine de Saint-Exupéry,Fiction,7.42,27,96,1943
9781101160459,The Epic of Gilgamesh,N. K. Sandars,Poetry,23.81,20,,
9781101138816,Blood Promise,Richelle Mead,Childrens,20.29,45,,
9788381351881,Hopeless,Colleen Hoover,Romance,6.00,22,416,2013
9781119621508,Storytelling with Data,Cole Nussbaumer Knaflic,Business,32.52,3,288,2015
9781338611991,Dog Man,Dav Pilkey,Childrens,32.86,43,,
9789022591932,The Invisible Life of Addie LaRue,,Fantasy,28.50,28,,
9780618058952,The Enduring Vision,,History,17.47,24,,
9780263762495,Beyond Compare,,Romance,20.43,23,187,1989
9780590411011,The Tale of Peter Rabbit,Beatrix Potter,Childrens,23.24,25,32,1920
9781400083039,Love Is a Mix Tape,Rob Sheffield,Music,5.42,11,,
9780785752387,Fear Street - The Wrong Number 2,Robert Lawrence Stine,Horror,13.77,16,176,1995
9789132428876,Enchanters' End Game (The Belgariad),David Eddings,Fantasy,29.07,31,384,1984
9781434462770,The inside of the cup,,Classics,10.61,45,,
9781915593009,Icebreaker,,Romance,34.43,20,441,2020
9780671458423,Roadside Picnic,Аркадий Стругацкий,Science,14.78,19,170,1978
9791020900593,Debt,David Graeber,History,27.07,23,543,2011
9781508279327,The Emperor of All Maladies,,History,9.42,31,582,2010
9780470083734,Tourism,Charles R. Goeldner,Travel,32.95,35,,
9781590073995,The Path of Daggers,Robert Jordan,Fantasy,18.59,45,,
9780263120974,Echoes of the Past,Sally Wentworth,Romance,33.65,4,187,1989
9780061365515,Flowers from the Storm,Laura Kinsale,Historical Fiction,20.99,33,,
9798628440865,Twelve years a slave,Solomon Northup,History,27.15,11,233,1853
9781408839966,The Silk Roads,,History,35.23,7,128,2015
9780658006340,AAA Essential Guide,AAA,Travel,37.59,14,126,2000
9780449200070,Kane & Abel,Jeffrey Archer,Historical Fiction,34.45,16,550,1979
9798737952464,The Evil Shepherd,Edward Phillips Oppenheim,Classics,26.63,39,,
9780345461629,Pandora's Star,Peter F. Hamilton,Science,37.83,9,896,2004
9788191032406,Wise and otherwise,Sudha Murti,Travel,16.45,36,,
9782226018052,"2010, odyssey two",Arthur C. Clarke,Science,38.08,36,,
9780134101477,Corporate finance,Jonathan B. Berk,Business,26.38,1,,
9780679432531,A history of the modern world,R. R. Palmer,History,38.37,30,1101,1950
9781775415190,Travels with a donkey in the Cevennes,Robert Louis Stevenson,Travel,20.56,44,,
9781495096105,Beauty and the Beast,Alan Menken,Music,11.72,38,,
9780671491758,The Mote in God's Eye,Larry Niven,Science,39.48,22,,
9780007164943,Five Little Pigs,,Mystery,24.38,20,233,1942
9783442353927,Endymion,,Science,9.49,3,,
9780718188740,Mythos,Stephen Fry,Classics,13.29,10,,
9780263757538,Taggart's Woman,Carole Mortimer,Romance,11.22,10,191,1987
9788422631880,Whispers,Dean Koontz,Horror,15.42,1,502,1960
9788448034580,Lord of Chaos,Robert Jordan,Fantasy,13.02,37,,
9780070441606,Effective business communications,,Business,35.73,41,741,1972
978147893377X,Nemesis Games,James S. A. Corey,Science,8.31,8,536,2015
9781605090962,Eat That Frog! 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,Business,17.45,25,128,2001
9781547236091,Anne of the Island,Lucy Maud Montgomery,Fiction,14.72,24,,
9781432645960,The poetical works of Lord Byron,Lord Byron,Travel,39.51,43,701,1800
9780049140172,The Path to Rome,,Travel,17.71,21,375,1890
9787020062362,Wolves of the Calla,Stephen King,Fantasy,25.83,25,714,2003
9782702400500,The Moving Finger,,Mystery,16.29,30,224,1942
9788492966660,The Murder of Roger Ackroyd,,Mystery,9.45,39,256,1926
9798618236188,Memórias póstumas de Brás Cubas,Machado de Assis,Classics,34.33,37,,
9780061762604,"A Dangerous Love (Swanlea Spinsters, Book 1)",Sabrina Jeffries,Historical Fiction,29.59,19,384,2006
9798855127560,Maniac Magee,,Childrens,8.38,26,184,1990
9781538745748,Dear Evan Hansen,Steven Levenson,Music,28.86,1,200,2017
9780545541251,The Lost Heir,Tui T. Sutherland,Childrens,38.91,37,336,2012
9780241573754,The Masque of the Red Death,Edgar Allan Poe,Horror,10.54,40,32,1922
9781591847816,Ego is the Enemy,Ryan Holiday,Business,33.59,15,238,2016
9780358213253,Company of One,Paul Jarvis,Business,5.17,20,,
9781593974336,The Great Hunt (The Wheel of Time Book 2),Robert Jordan,Fantasy,22.26,39,672,1990
9780061857171,The Last Night of the Earth Poems,Charles Bukowski,Poetry,6.70,8,405,1992
9780061652264,At the Bride Hunt Ball,Olivia Parker,Historical Fiction,21.43,24,384,2008
9780805035650,Heidi,"Spyri, Johanna",Classics,16.62,22,,
9780356502571,The First Fifteen Lives of Harry August,Claire North,Travel,32.95,16,416,2014
9780879015497,Listen,Joseph Kerman,Music,24.26,14,438,1972
9782207256343,The Shadow of the Torturer,Gene Wolfe,Fantasy,29.45,44,303,1980
9781071068403,The Fall of the House of Usher,Edgar Allan Poe,Horror,37.55,17,38,1704
9781502784278,Milk and Honey,Rupi Kaur,Poetry,36.21,25,,
9780416027020,The bad child's book of beasts,Hilaire Belloc,Poetry,14.78,18,54,1875
9781478312932,Emma,,Fiction,27.72,30,457,1815
9781119997559,Business plans for dummies,Paul Tiffany,Business,24.40,17,,
9781408998465,Past Passion,Penny Jordan,Romance,13.08,42,,
9788492412402,At the Mountains of Madness,H.P. Lovecraft,Horror,8.05,21,192,1968
9780061739590,Born in Sin,,Historical Fiction,4.68,35,372,2003
9781250819369,Hidden Pictures,Jason Rekulak,Mystery,35.67,30,408,2022
9781844135844,Built to Last,"Collins, James C.",Business,15.87,41,355,1994
9780416165326,In the Fifth at Malory Towers,Enid Blyton,Childrens,12.72,2,,
9780805013344,"""A"" is for Alibi",Sue Grafton,Mystery,10.72,2,243,1982
9781935682028,Grande ritorno nel Regno della Fantasia 2,Elisabetta Dami,Childrens,37.66,18,656,2011
9780553350630,At Bertram's Hotel,,Mystery,8.30,21,248,1965
9781850890362,Travels with my aunt,Graham Greene,Travel,21.98,8,,
9780141374239,Revolting rhymes,Roald Dahl,Poetry,8.49,10,47,1982
9783453317109,The Way of Kings,Brandon Sanderson,Fantasy,5.00,21,1008,2010
9780736614016,The Little White Horse,Elizabeth Goudge,Childrens,10.71,40,272,1920
9787555027706,"The Long Way to a Small, Angry Planet",Becky Chambers,Science,7.57,42,445,2014
9780061451652,The Highlander's Bride,Donna Fletcher,Historical Fiction,37.63,0,,
9780373833740,Lover's Touch,Penny Jordan,Romance,38.27,19,,
9783898535526,Der Untergang des Abendlandes,Oswald Spengler,History,17.23,15,488,1918
9780307394392,The 4-Hour Workweek,,Business,18.85,32,,
9780140281118,Dark star safari,Paul Theroux,Travel,28.94,40,495,2002
9780655672241,House of Earth and Blood,Sarah J. Maas,Fantasy,12.26,8,805,2019
9788828350453,"Under the Greenwood Tree or, The Mellstock quire",Thomas Hardy,Classics,17.73,44,221,1872
9780263778724,A High Price to Pay,Sara Craven,Romance,28.01,13,215,1986
9788324592838,Why Didn't they Ask Evans?,Agatha Christie,Mystery,32.37,33,254,1934
9788308048948,Kongres futurologiczny,Stanisław Lem,Science,24.47,3,149,1974
9780263771213,Perilous Refuge,Patricia Wilson,Romance,23.50,10,288,1991
9781958943052,The Case-Book of Sherlock Holmes,Arthur Conan Doyle,Mystery,11.77,37,,
9798753137173,Anthem,Ayn Rand,Fiction,6.47,8,84,1936
9789507511288,The ones who walk away from Omelas,Ursula K. Le Guin,Fantasy,20.87,19,42,1973
9780755334223,The Big Bad Wolf,James Patterson,Mystery,30.90,37,393,2001
9780321623539,Biology,Neil Alexander Campbell,Science,23.66,3,,
9785170178285,Insomnia,,Fiction,5.62,26,719,1994
9781535540124,The Raven,,Poetry,30.32,26,,
9780802142641,Please kill me,Legs McNeil,Music,36.97,24,525,1997
9780072457445,Music in theory and practice,Bruce Benward,Music,23.59,41,384,1977
9780671692650,Swan Song,,Horror,18.41,8,956,1978
978083177404X,The Rise and Fall of the Third Reich,William L. Shirer,History,5.30,19,1245,1901
9798561631788,The Scarlet Letter,Nathaniel Hawthorne,Fiction,17.93,14,272,1800
9780754006329,Down Under (In a Sunburned Country),Bill Bryson,Travel,37.68,7,,
9785170912360,Mr. Mercedes,Stephen King,Horror,37.64,1,,
9780307491572,Tai-Pan (Asian Saga,,Historical Fiction,20.30,43,,
9781957635002,Haunting Adeline,,Fiction,18.74,14,615,2021
9781529369526,A Time of Gifts,Patrick Leigh Fermor,Travel,9.46,18,304,1977
9780743486286,The heroin diaries,Nikki Sixx,Music,24.94,43,,
9781250790514,"Can't stop, won't stop",Jeff Chang,Music,39.39,33,546,2005
9780060826086,Appointment with Death,Agatha Christie,Mystery,38.08,11,,
9780345458889,Novels (Black House / Talisman),Stephen King,Horror,38.92,41,1456,2002
9781781251485,The Obstacle is the Way,Ryan Holiday,Business,19.24,9,224,2013
9780062225719,Mort,Terry Pratchett,Fantasy,13.03,14,,
9781421809083,The Freedom of Life,Annie Payson Call,Classics,36.88,35,,
9781668010303,"Think Faster, Talk Smarter",Matt Abrahams,Business,18.25,16,256,2023
9780385142519,On top of spaghetti,Tom Glazer,Classics,34.49,5,,
9780091203207,Music therapy,Juliette Alvin,Music,17.85,38,181,1966
9780571226856,Ariel,Sylvia Plath,Poetry,31.46,42,96,1965
9780263122169,Pattern of Deceit,Emma Darcy,Romance,16.29,0,188,1989
9780872205925,Poems and Fragments,Sappho,Poetry,30.94,30,,
9783734163357,Storm Front,Jim Butcher,Fantasy,18.54,15,347,2000
9780793546534,Classic Rock,Hal Leonard Corp.,Music,23.39,22,238,1995
9798625352550,Tanglewood Tales,Nathaniel Hawthorne,Classics,21.00,30,,
9788501110008,Empire of Storms,Sarah J. Maas,Childrens,15.58,2,704,2016
9780345301451,A Distant Mirror,Barbara Tuchman,History,13.73,37,691,1600
9780765316974,The Last Colony,John Scalzi,Science,16.18,24,320,2007
9781709948305,Κρίτων,Πλάτων,Classics,37.90,21,75,1833
9780356232928,Fingersmith,Sarah Waters,Historical Fiction,27.22,31,,
9781436253796,The Eyes of Darkness,Dean Koontz,Fiction,9.45,34,340,1981
9780321793102,Microbiology,Gerard J. Tortora,Science,27.22,3,945,1982
9798377220947,"Diary of a Romantica, Vol. I",Celia Martínez,Poetry,33.46,3,166,2023
9788418550928,State and Revolution,Vladimir Il’ich Lenin,Classics,12.69,45,132,1900
9788804507727,The Big Four,Agatha Christie,Mystery,6.64,40,,
9781847941831,Atomic Habits,James Clear,Business,21.77,0,322,2016
979821701436X,Dream Count,Chimamanda Ngozi Adichie,Historical Fiction,30.07,34,512,2025
9780140449532,The essential Rumi,,Poetry,28.36,11,302,1995
9780142423295,Wuthering Heights,,Fiction,11.29,33,,
9798990047709,Save me an orange,Hayley Grace,Poetry,7.30,25,,
9780996487191,The Strength in Our Scars,Bianca Sparacino,Poetry,15.12,5,,2018
9780141378893,Dirty Beasts,Roald Dahl,Poetry,7.81,24,32,1983
9788374805568,The Hero of Ages,Brandon Sanderson,Fantasy,29.38,5,760,2008
9780394179933,A Man With a Maid,Anonymous,Classics,24.53,6,239,1968
9788381352079,It Starts with Us,Colleen Hoover,Romance,36.41,44,352,2022
9798688109153,The Gods of Mars,Edgar Rice Burroughs,Classics,7.13,17,200,1918
9780550200686,The complete poetical works,Robert Burns,Poetry,37.38,20,366,1786
9781436223881,How to Get Rich,Felix Dennis,Business,33.55,25,,
9780079131195,Music,Roger Kamien,Music,24.56,24,641,1976
9781491543382,The Diamond Age,Neal Stephenson,Science,30.69,44,512,1995
9780307567291,The conqueror,Brenda Joyce,Historical Fiction,6.40,27,423,1990
9780575042681,Dawn,,Science,26.23,38,,
9788427911758,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Travel,14.18,28,421,1974
9780967162461,Thinking Like An Entrepreneur,Peter I. Hupalo,Business,19.79,43,274,1999
9781305639614,Small business management,Justin Gooderl Longenecker,Business,14.96,15,710,1987
9781780318578,Unravel me,,Fiction,29.69,40,443,2013
9788477111252,El Lazarillo de Tormes,Anonymous,Classics,7.74,19,,
9781597223072,In the Bed of a Duke,Cathy Maxwell,Historical Fiction,7.59,27,368,2006
9780872863101,"Howl, and Other Poems",Allen Ginsberg,Poetry,5.43,22,44,1956
9789500417563,Contact,Carl Sagan,Science,35.08,0,432,1985
9798764553290,The Secret Garden,Frances Hodgson Burnett,Fiction,36.40,15,,
9788579623844,There is a bird on your head!,Mo Willems,Childrens,9.41,19,57,2007
9780263096378,The Other Woman,,Romance,14.27,19,,
9789868856097,Butcher's Crossing,,Classics,13.23,40,274,1960
9780307262196,Barbie Horse Trouble Barbie Look Look,Golden Books,Poetry,9.30,0,32,1921
9780786215133,A Walk in the Woods,Bill Bryson,Travel,32.96,21,328,1997
9781974932573,Mercury and me,Jim Hutton,Music,27.55,38,266,1994
9780195365931,"The Pop, Rock, and Soul Reader",David Brackett,Music,11.61,20,,
9780525537113,What If?,Randall Munroe,Science,30.51,40,,
9798352831533,Never Lie,Freida McFadden,Mystery,17.81,25,320,2022
9781432899011,Before the Coffee Gets Cold,川口俊和,Travel,39.80,11,240,2019
9789794130834,Ringkasan sejarat filsafat,K. Bertens,History,20.84,45,94,1975
9780312472849,America,Mary Lynn Rampolla,History,6.95,26,,
9788173043727,Tuḥfat al-nuẓẓār fī gharāʾib al-amṣār wa-ʻajāʾib al-asfār,,Travel,13.44,9,397,1829
9789721041028,The Fellowship of the Ring,J.R.R. Tolkien,Fiction,39.57,30,494,1954
9780131105409,Effective small business management,Norman M. Scarborough,Business,35.29,26,848,1984
9780449235997,Lucifer's Hammer,Larry Niven,Science,36.20,34,639,1977
9780816150694,Levelling the Score,Penny Jordan,Romance,13.29,42,224,1987
9783502551638,Murder is Easy,Agatha Christie,Mystery,39.32,43,223,1853
9781474055437,Contra Su Voluntad,Sara Craven,Romance,32.69,6,224,2006
9780534359454,Discrete Mathematics with Applications,Susanna S. Epp,Science,22.87,37,,
9780593160015,"The Stars, Like Dust",Isaac Asimov,Science,20.89,43,229,1951
9781631619854,Unlimited Memory,Kevin Horsley,Business,5.37,6,141,2014
9781679521836,The Man Who Knew Too Much,Gilbert Keith Chesterton,Mystery,33.93,9,,
9781629376363,BTS,Triumph Books,Music,22.95,22,112,2005
9780593724309,Ship of Magic,Robin Hobb,Fantasy,15.79,19,699,1998
9780136054054,Art history,Marilyn Stokstad,History,16.64,6,,
9780517082461,The Song of Hiawatha and Other Poems,Henry Wadsworth Longfellow,Poetry,13.13,11,435,1800
9780590928861,Zin! Zin! Zin! a Violin,Lloyd Moss,Music,20.86,25,32,1995
9783423262644,Ostatnie Życzenie,Andrzej Sapkowski,Fantasy,18.50,39,342,1993
9788324592265,The Body in the Library,Agatha Christie,Mystery,4.66,13,207,1942
9798475273906,The Moonstone,Wilkie Collins,Mystery,6.71,6,,
9780356521640,The player of games,Iain Banks,Science Fiction,11.48,7,320,1988
9781283677127,Not Once But Twice,Betty Neels,Romance,27.12,38,,
9781950508914,The Phoenix Project,Gene Kim,Business,16.96,29,345,2013
9781409095484,A short history of nearly everything,Bill Bryson,Science,15.03,39,592,2003
9781442472426,Scythe,Neal Shusterman,Childrens,12.95,7,449,2016
9781476873626,Peanuts,Vince Guaraldi,Music,19.31,8,,
9780205176076,Classical myth,Barry B. Powell,Classics,23.52,41,752,2012
9781723208614,Phantastes,George MacDonald,Fantasy,14.72,11,196,1850
9780263782011,Comparative Strangers,Sara Craven,Romance,17.21,0,,
9781470825553,Between Two Fires,Christopher Buehlman,Historical Fiction,24.38,41,456,2012
9781561005987,Wizard's First Rule,Terry Goodkind,Fantasy,34.23,31,579,1994
9788535931327,Giovanni's Room,James Baldwin,Classics,12.31,2,,
9781594634956,The Girl on the Train,Paula Hawkins,Travel,20.69,31,,
9781976709135,Leaves of Grass,,Poetry,31.94,23,384,1855
9780300024838,The art of strict musical composition,Johann Philipp Kirnberger,Music,20.12,13,423,1982
9788834706107,Ubik,,Fiction,31.10,19,224,1969
9780450055492,Friday,,Science,35.02,5,369,1982
9780307704511,Rework,Jason Fried,Business,12.89,37,279,2010
9780061285752,The End,Lemony Snicket,Childrens,19.66,39,368,2006
9787229030933,Death's End (The Three-Body Problem Series Book 3),刘慈欣,Science,6.60,22,,
