date,categorie,produit,qte,CA
2023-03-05,Électroménager,Aspirateur,2,382.36
2023-03-05,Maison,Couette 220x240,5,1064.43
2023-03-05,Mode,T-shirt coton,2,1009.34
2023-03-05,Bricolage,Boîte à outils,1,83.21
2023-03-05,Sport,Chaussures running,1,569.53
2023-03-06,Sport,Haltères 10kg,3,280.15
2023-03-06,Bricolage,Boîte à outils,2,166.42
2023-03-06,Mode,T-shirt coton,3,1438.31
2023-03-06,Mode,Pull laine,1,884.49
2023-03-07,Électroménager,Micro-ondes,3,1359.48
2023-03-07,Mode,T-shirt coton,1,504.67
2023-03-08,Maison,Couette 220x240,3,638.66
2023-03-08,Sport,Maillot bain,2,701.54
2023-03-09,Électroménager,Bouilloire,4,2904.16
2023-03-09,Sport,Vélo VTT,1,545.21
2023-03-10,Électroménager,Micro-ondes,4,1812.64
2023-03-11,Mode,Robe été,6,1779.12
2023-03-11,Électroménager,Micro-ondes,1,453.16
2023-03-12,Électroménager,Robot cuiseur,5,1249.85
2023-03-13,Bricolage,Échelle alu,1,354.67
2023-03-13,Maison,Étagère bois,2,531.22
2023-03-13,Mode,Baskets ville,1,460.51
2023-03-13,Mode,Pull laine,2,1768.98
2023-03-14,Sport,Ballon foot,4,400.4
2023-03-14,Sport,Chaussures running,2,1139.06
2023-03-14,Bricolage,Échelle alu,2,709.34
2023-03-15,Sport,Maillot bain,1,350.77
2023-03-15,Bricolage,Tournevis set,2,1272.56
2023-03-15,Électroménager,Bouilloire,4,2904.16
2023-03-15,Électroménager,Micro-ondes,2,906.32
2023-03-16,Sport,Raquette tennis,4,2824.76
2023-03-16,Bricolage,Peinture 5L,1,609.0
2023-03-16,Sport,Maillot bain,2,701.54
2023-03-17,Mode,Baskets ville,5,2302.55
2023-03-18,Maison,Couette 220x240,4,896.36
2023-03-18,Maison,Étagère bois,3,838.77
2023-03-18,Bricolage,Perceuse,1,105.66
2023-03-19,Maison,Couette 220x240,4,896.36
2023-03-19,Bricolage,Échelle alu,1,354.67
2023-03-19,Bricolage,Boîte à outils,1,83.21
2023-03-20,Mode,Baskets ville,3,1381.53
2023-03-20,Électroménager,Cafetière,3,1176.72
2023-03-20,Électroménager,Bouilloire,4,2758.95
2023-03-21,Maison,Set casseroles,1,636.17
2023-03-21,Bricolage,Tournevis set,1,636.28
2023-03-22,Sport,Vélo VTT,2,1090.42
2023-03-22,Sport,Chaussures running,4,2278.12
2023-03-22,Sport,Vélo VTT,3,1635.63
2023-03-23,Sport,Raquette tennis,4,2824.76
2023-03-23,Électroménager,Micro-ondes,3,1359.48
2023-03-23,Mode,Pull laine,4,3537.96
2023-03-24,Maison,Étagère bois,5,1397.95
2023-03-24,Maison,Lampe LED,4,536.88
2023-03-25,Sport,Tapis yoga,3,1975.08
2023-03-25,Bricolage,Tournevis set,2,1272.56
2023-03-26,Bricolage,Boîte à outils,3,249.63
2023-03-26,Bricolage,Échelle alu,3,851.21
2023-03-26,Électroménager,Cafetière,5,1961.2
2023-03-26,Électroménager,Bouilloire,4,2904.16
2023-03-28,Mode,Veste hiver,1,655.99
2023-03-28,Électroménager,Robot cuiseur,4,949.89
2023-03-28,Électroménager,Robot cuiseur,3,749.91
2023-03-29,Bricolage,Tournevis set,1,636.28
2023-03-29,Bricolage,Échelle alu,1,336.94
2023-03-29,Électroménager,Cafetière,1,353.02
2023-03-30,Sport,Raquette tennis,3,1694.86
2023-03-31,Sport,Vélo VTT,2,1090.42
2023-03-31,Sport,Vélo VTT,3,1635.63
2023-04-01,Maison,Couette 220x240,1,224.09
2023-04-02,Bricolage,Perceuse,3,253.58
2023-04-02,Sport,Haltères 10kg,3,294.9
2023-04-03,Sport,Raquette tennis,4,2824.76
2023-04-03,Bricolage,Échelle alu,2,709.34
2023-04-03,Sport,Vélo VTT,5,2726.05
2023-04-04,Bricolage,Boîte à outils,3,249.63
2023-04-05,Mode,T-shirt coton,1,504.67
2023-04-05,Maison,Rideau occultant,2,192.3
2023-04-05,Maison,Rideau occultant,5,506.05
2023-04-07,Mode,Jean homme,2,544.54
2023-04-08,Mode,Baskets ville,1,460.51
2023-04-08,Électroménager,Cafetière,3,1176.72
2023-04-09,Mode,Jean homme,3,816.81
2023-04-09,Mode,Robe été,1,281.69
2023-04-09,Mode,Jean homme,2,544.54
2023-04-10,Maison,Couette 220x240,3,605.04
2023-04-10,Électroménager,Robot cuiseur,1,249.97
2023-04-10,Électroménager,Aspirateur,2,363.24
2023-04-10,Bricolage,Perceuse,1,105.66
2023-04-10,Sport,Vélo VTT,1,490.69
2023-04-10,Mode,Robe été,3,889.56
2023-04-11,Mode,Pull laine,4,3361.06
2023-04-11,Sport,Maillot bain,3,1052.31
2023-04-11,Mode,Veste hiver,2,1311.98
2023-04-11,Sport,Vélo VTT,1,545.21
2023-04-11,Électroménager,Robot cuiseur,2,474.94
2023-04-12,Maison,Lampe LED,2,268.44
2023-04-12,Bricolage,Peinture 5L,1,609.0
2023-04-13,Électroménager,Réfrigérateur,1,387.37
2023-04-13,Maison,Couette 220x240,6,1344.54
2023-04-13,Bricolage,Tournevis set,2,1272.56
2023-04-14,Bricolage,Boîte à outils,3,249.63
2023-04-14,Mode,Baskets ville,4,1842.04
2023-04-14,Électroménager,Micro-ondes,1,453.16
2023-04-15,Maison,Set casseroles,3,2120.55
2023-04-15,Mode,Baskets ville,1,460.51
2023-04-15,Maison,Set casseroles,5,3534.25
2023-04-15,Mode,Baskets ville,4,1657.84
2023-04-17,Mode,Baskets ville,4,1842.04
2023-04-17,Électroménager,Robot cuiseur,1,249.97
2023-04-18,Maison,Set casseroles,4,2827.4
2023-04-19,Mode,Pull laine,2,1768.98
2023-04-19,Mode,Jean homme,4,1089.08
2023-04-19,Électroménager,Réfrigérateur,3,1162.11
2023-04-20,Sport,Haltères 10kg,2,196.6
2023-04-20,Mode,Veste hiver,5,3279.95
2023-04-21,Électroménager,Micro-ondes,1,430.5
2023-04-21,Bricolage,Perceuse,1,105.66
2023-04-22,Bricolage,Boîte à outils,2,166.42
2023-04-23,Maison,Rideau occultant,2,202.42
2023-04-23,Maison,Lampe LED,2,268.44
2023-04-24,Bricolage,Perceuse,5,528.3
2023-04-24,Mode,Pull laine,1,884.49
2023-04-24,Électroménager,Micro-ondes,3,1359.48
2023-04-24,Sport,Ballon foot,1,100.1
2023-04-25,Mode,Jean homme,4,1089.08
2023-04-25,Maison,Étagère bois,3,838.77
2023-04-25,Maison,Étagère bois,3,838.77
2023-04-25,Électroménager,Micro-ondes,2,725.06
2023-04-26,Électroménager,Aspirateur,3,516.19
2023-04-26,Maison,Rideau occultant,2,202.42
2023-04-26,Sport,Tapis yoga,1,592.52
2023-04-26,Électroménager,Réfrigérateur,1,387.37
2023-04-26,Électroménager,Robot cuiseur,4,999.88
2023-04-26,Mode,Pull laine,4,3537.96
2023-04-26,Sport,Chaussures running,3,1708.59
2023-04-26,Mode,Baskets ville,2,921.02
2023-04-27,Sport,Haltères 10kg,1,98.3
2023-04-27,Électroménager,Bouilloire,2,1452.08
2023-04-28,Sport,Vélo VTT,4,2180.84
2023-04-28,Bricolage,Perceuse,2,211.32
2023-04-28,Maison,Set casseroles,5,3534.25
2023-04-29,Sport,Tapis yoga,3,1975.08
2023-05-02,Maison,Canapé 3 places,3,738.69
2023-05-03,Mode,T-shirt coton,4,2018.68
2023-05-03,Sport,Tapis yoga,3,1975.08
2023-05-04,Électroménager,Robot cuiseur,2,499.94
2023-05-05,Bricolage,Échelle alu,4,1418.68
2023-05-05,Sport,Haltères 10kg,3,294.9
2023-05-06,Bricolage,Échelle alu,2,709.34
2023-05-06,Bricolage,Échelle alu,1,354.67
2023-05-06,Mode,Jean homme,2,544.54
2023-05-07,Maison,Couette 220x240,5,1120.45
2023-05-07,Bricolage,Peinture 5L,3,1735.65
2023-05-07,Mode,Robe été,4,1186.08
2023-05-07,Bricolage,Boîte à outils,3,249.63
2023-05-08,Sport,Maillot bain,1,350.77
2023-05-08,Électroménager,Robot cuiseur,3,712.41
2023-05-08,Bricolage,Boîte à outils,5,395.25
2023-05-08,Électroménager,Réfrigérateur,4,1549.48
2023-05-09,Maison,Couette 220x240,5,1120.45
2023-05-09,Électroménager,Micro-ondes,5,2152.51
2023-05-09,Bricolage,Boîte à outils,2,166.42
2023-05-09,Sport,Raquette tennis,3,2118.57
2023-05-09,Maison,Rideau occultant,3,303.63
2023-05-10,Sport,Haltères 10kg,3,294.9
2023-05-10,Mode,Jean homme,2,544.54
2023-05-10,Électroménager,Bouilloire,2,1452.08
2023-05-10,Électroménager,Aspirateur,2,382.36
2023-05-11,Électroménager,Cafetière,2,784.48
2023-05-11,Électroménager,Micro-ondes,3,1359.48
2023-05-12,Mode,Baskets ville,1,437.48
2023-05-13,Mode,Robe été,3,889.56
2023-05-13,Électroménager,Réfrigérateur,5,1936.85
2023-05-13,Bricolage,Perceuse,1,105.66
2023-05-14,Maison,Canapé 3 places,3,738.69
2023-05-15,Bricolage,Peinture 5L,1,609.0
2023-05-16,Sport,Chaussures running,3,1708.59
2023-05-16,Bricolage,Peinture 5L,2,1218.0
2023-05-17,Bricolage,Peinture 5L,1,609.0
2023-05-17,Mode,T-shirt coton,1,504.67
2023-05-17,Sport,Haltères 10kg,5,491.5
2023-05-18,Maison,Couette 220x240,5,1120.45
2023-05-18,Mode,T-shirt coton,4,2018.68
2023-05-18,Bricolage,Peinture 5L,3,1827.0
2023-05-19,Mode,Veste hiver,2,1311.98
2023-05-20,Bricolage,Perceuse,2,211.32
2023-05-20,Mode,Jean homme,5,1225.21
2023-05-20,Électroménager,Bouilloire,1,726.04
2023-05-20,Électroménager,Micro-ondes,2,725.06
2023-05-21,Mode,Pull laine,2,1768.98
2023-05-21,Bricolage,Peinture 5L,5,2436.0
2023-05-21,Bricolage,Tournevis set,1,604.47
2023-05-21,Maison,Set casseroles,1,636.17
2023-05-21,Mode,Baskets ville,3,1381.53
2023-05-22,Maison,Set casseroles,1,706.85
2023-05-23,Sport,Ballon foot,2,200.2
2023-05-23,Maison,Set casseroles,3,2120.55
2023-05-23,Maison,Set casseroles,2,1413.7
2023-05-24,Électroménager,Cafetière,2,784.48
2023-05-25,Électroménager,Cafetière,4,1568.96
2023-05-25,Maison,Étagère bois,1,279.59
2023-05-26,Mode,T-shirt coton,3,1514.01
2023-05-26,Sport,Ballon foot,4,400.4
2023-05-27,Mode,Jean homme,3,816.81
2023-05-27,Mode,Veste hiver,1,623.19
2023-05-27,Bricolage,Tournevis set,3,1813.4
2023-05-27,Sport,Maillot bain,3,1052.31
2023-05-28,Mode,Veste hiver,2,1311.98
2023-05-28,Mode,Robe été,5,1482.6
2023-05-29,Bricolage,Boîte à outils,3,249.63
2023-05-29,Électroménager,Réfrigérateur,3,1104.0
2023-05-29,Sport,Vélo VTT,4,2180.84
2023-05-29,Électroménager,Cafetière,1,392.24
2023-05-30,Mode,Jean homme,1,272.27
2023-05-30,Électroménager,Cafetière,3,1059.05
2023-05-30,Maison,Canapé 3 places,1,246.23
2023-05-31,Mode,Jean homme,2,544.54
2023-05-31,Mode,Veste hiver,2,1180.78
2023-05-31,Bricolage,Peinture 5L,3,1827.0
2023-05-31,Maison,Étagère bois,1,279.59
2023-06-01,Sport,Ballon foot,2,160.16
2023-06-01,Sport,Ballon foot,2,190.19
2023-06-02,Électroménager,Robot cuiseur,1,199.98
2023-06-02,Mode,Robe été,1,296.52
2023-06-03,Sport,Tapis yoga,3,1580.06
2023-06-03,Maison,Set casseroles,2,1413.7
2023-06-03,Sport,Haltères 10kg,3,294.9
2023-06-03,Bricolage,Tournevis set,2,1272.56
2023-06-04,Bricolage,Échelle alu,1,354.67
2023-06-04,Maison,Set casseroles,1,706.85
2023-06-05,Électroménager,Bouilloire,4,2904.16
2023-06-05,Électroménager,Micro-ondes,1,407.84
2023-06-06,Bricolage,Tournevis set,6,3817.68
2023-06-06,Électroménager,Robot cuiseur,1,249.97
2023-06-06,Électroménager,Bouilloire,2,1452.08
2023-06-06,Mode,T-shirt coton,1,504.67
2023-06-06,Maison,Couette 220x240,2,448.18
2023-06-07,Électroménager,Micro-ondes,4,1722.01
2023-06-09,Mode,Baskets ville,2,874.97
2023-06-09,Maison,Étagère bois,3,838.77
2023-06-09,Sport,Chaussures running,2,1139.06
2023-06-10,Sport,Haltères 10kg,3,294.9
2023-06-10,Maison,Set casseroles,2,1343.02
2023-06-11,Électroménager,Aspirateur,4,726.48
2023-06-11,Électroménager,Aspirateur,3,573.54
2023-06-11,Électroménager,Réfrigérateur,2,774.74
2023-06-11,Sport,Maillot bain,2,701.54
2023-06-11,Sport,Chaussures running,3,1366.87
2023-06-11,Mode,Veste hiver,3,1967.97
2023-06-12,Maison,Rideau occultant,5,506.05
2023-06-12,Sport,Maillot bain,4,1403.08
2023-06-12,Maison,Lampe LED,3,402.66
2023-06-13,Bricolage,Boîte à outils,3,249.63
2023-06-13,Électroménager,Réfrigérateur,1,368.0
2023-06-14,Maison,Étagère bois,1,279.59
2023-06-14,Électroménager,Robot cuiseur,2,499.94
2023-06-14,Maison,Set casseroles,3,2120.55
2023-06-14,Maison,Set casseroles,2,1413.7
2023-06-15,Sport,Tapis yoga,2,1316.72
2023-06-15,Sport,Chaussures running,3,1708.59
2023-06-15,Maison,Set casseroles,3,2120.55
2023-06-15,Électroménager,Cafetière,2,784.48
2023-06-16,Bricolage,Tournevis set,2,1272.56
2023-06-17,Maison,Couette 220x240,1,224.09
2023-06-17,Mode,Veste hiver,1,655.99
2023-06-19,Mode,Pull laine,1,840.27
2023-06-19,Bricolage,Perceuse,1,84.53
2023-06-20,Sport,Raquette tennis,3,2118.57
2023-06-20,Mode,Pull laine,3,2653.47
2023-06-20,Bricolage,Perceuse,1,105.66
2023-06-21,Mode,Jean homme,2,517.31
2023-06-21,Électroménager,Cafetière,3,1176.72
2023-06-21,Maison,Couette 220x240,1,224.09
2023-06-21,Bricolage,Échelle alu,4,1418.68
2023-06-22,Sport,Vélo VTT,6,3271.26
2023-06-23,Bricolage,Perceuse,2,211.32
2023-06-23,Sport,Vélo VTT,3,1472.07
2023-06-23,Sport,Raquette tennis,1,706.19
2023-06-24,Électroménager,Aspirateur,2,344.12
2023-06-24,Bricolage,Perceuse,2,211.32
2023-06-25,Bricolage,Tournevis set,3,1908.84
2023-06-25,Sport,Tapis yoga,2,1316.72
2023-06-26,Maison,Couette 220x240,3,672.27
2023-06-26,Bricolage,Tournevis set,1,636.28
2023-06-27,Électroménager,Cafetière,1,392.24
2023-06-27,Électroménager,Bouilloire,3,2178.12
2023-06-27,Mode,T-shirt coton,1,504.67
2023-06-27,Mode,Baskets ville,3,1381.53
2023-06-28,Bricolage,Tournevis set,6,3817.68
2023-06-28,Maison,Lampe LED,3,382.53
2023-06-28,Sport,Raquette tennis,4,2542.28
2023-06-28,Maison,Set casseroles,5,3534.25
2023-06-28,Sport,Haltères 10kg,4,393.2
2023-06-28,Bricolage,Boîte à outils,2,166.42
2023-06-28,Maison,Set casseroles,5,3534.25
2023-06-29,Maison,Canapé 3 places,3,738.69
2023-06-30,Sport,Tapis yoga,4,2370.1
2023-07-01,Sport,Maillot bain,5,1666.16
2023-07-02,Maison,Couette 220x240,2,448.18
2023-07-02,Électroménager,Robot cuiseur,1,237.47
2023-07-02,Mode,Pull laine,4,3184.16
2023-07-03,Mode,Baskets ville,3,1381.53
2023-07-03,Maison,Étagère bois,8,2236.72
2023-07-04,Maison,Lampe LED,9,1207.98
2023-07-04,Bricolage,Échelle alu,4,1418.68
2023-07-05,Maison,Canapé 3 places,6,1477.38
2023-07-05,Sport,Chaussures running,3,1708.59
2023-07-06,Mode,T-shirt coton,7,3532.69
2023-07-07,Électroménager,Réfrigérateur,3,1104.0
2023-07-07,Maison,Couette 220x240,1,224.09
2023-07-07,Sport,Tapis yoga,3,1975.08
2023-07-07,Électroménager,Cafetière,2,784.48
2023-07-08,Électroménager,Cafetière,6,2353.44
2023-07-08,Maison,Couette 220x240,3,672.27
2023-07-08,Maison,Couette 220x240,5,1120.45
2023-07-09,Maison,Canapé 3 places,3,738.69
2023-07-09,Sport,Chaussures running,2,1139.06
2023-07-09,Bricolage,Perceuse,8,845.28
2023-07-09,Sport,Chaussures running,6,3417.18
2023-07-09,Maison,Rideau occultant,3,303.63
2023-07-10,Électroménager,Réfrigérateur,2,736.0
2023-07-10,Bricolage,Perceuse,2,211.32
2023-07-10,Sport,Raquette tennis,1,706.19
2023-07-10,Sport,Maillot bain,3,1052.31
2023-07-10,Électroménager,Robot cuiseur,6,1499.82
2023-07-10,Bricolage,Perceuse,6,633.96
2023-07-10,Sport,Vélo VTT,2,1035.9
2023-07-11,Électroménager,Aspirateur,1,191.18
2023-07-11,Bricolage,Tournevis set,7,4453.96
2023-07-11,Électroménager,Bouilloire,1,726.04
2023-07-12,Sport,Tapis yoga,7,4608.52
2023-07-12,Mode,T-shirt coton,5,2397.18
2023-07-12,Bricolage,Échelle alu,2,709.34
2023-07-12,Maison,Couette 220x240,1,224.09
2023-07-13,Maison,Rideau occultant,2,202.42
2023-07-13,Électroménager,Micro-ondes,7,3172.12
2023-07-14,Mode,T-shirt coton,5,2523.35
2023-07-15,Mode,Pull laine,5,4422.45
2023-07-15,Mode,Jean homme,8,2069.25
2023-07-15,Sport,Haltères 10kg,5,491.5
2023-07-15,Maison,Étagère bois,4,1118.36
2023-07-17,Électroménager,Micro-ondes,4,1812.64
2023-07-17,Électroménager,Cafetière,3,1176.72
2023-07-17,Mode,T-shirt coton,5,2271.02
2023-07-17,Mode,Baskets ville,4,1842.04
2023-07-17,Sport,Vélo VTT,1,545.21
2023-07-17,Maison,Rideau occultant,1,101.21
2023-07-18,Électroménager,Bouilloire,4,2904.16
2023-07-18,Électroménager,Micro-ondes,2,906.32
2023-07-19,Sport,Tapis yoga,3,1975.08
2023-07-19,Sport,Tapis yoga,5,3291.8
2023-07-20,Sport,Raquette tennis,5,3354.4
2023-07-20,Électroménager,Bouilloire,2,1452.08
2023-07-20,Sport,Maillot bain,4,1403.08
2023-07-20,Sport,Chaussures running,7,3986.71
2023-07-21,Électroménager,Micro-ondes,2,861.0
2023-07-21,Maison,Lampe LED,5,671.1
2023-07-21,Mode,Baskets ville,3,1381.53
2023-07-21,Sport,Haltères 10kg,7,688.1
2023-07-22,Électroménager,Cafetière,1,353.02
2023-07-22,Maison,Set casseroles,4,2827.4
2023-07-22,Électroménager,Cafetière,5,1961.2
2023-07-22,Sport,Chaussures running,7,3588.04
2023-07-22,Sport,Maillot bain,2,701.54
2023-07-23,Mode,Baskets ville,8,3684.08
2023-07-23,Maison,Set casseroles,6,4029.04
2023-07-24,Électroménager,Aspirateur,2,382.36
2023-07-24,Mode,Pull laine,8,7075.92
2023-07-24,Maison,Lampe LED,2,268.44
2023-07-26,Maison,Set casseroles,2,1413.7
