date,categorie,produit,quantite,montant
2023-04-11,Bricolage,Perceuse,3,316.98
2023-04-11,Sport,Chaussures running,1,569.53
2023-04-12,Maison,Lampe LED,1,134.22
2023-04-12,Maison,Canapé 3 places,1,233.92
2023-04-14,Mode,Baskets ville,4,1842.04
2023-04-14,Bricolage,Boîte à outils,2,158.1
2023-04-15,Électroménager,Bouilloire,1,689.74
2023-04-15,Électroménager,Micro-ondes,4,1631.38
2023-04-15,Bricolage,Tournevis set,1,636.28
2023-04-15,Mode,Pull laine,4,3537.96
2023-04-15,Maison,Couette 220x240,3,672.27
2023-04-16,Sport,Maillot bain,3,999.69
2023-04-16,Mode,Jean homme,1,258.66
2023-04-17,Électroménager,Robot cuiseur,1,249.97
2023-04-17,Sport,Maillot bain,2,561.23
2023-04-18,Bricolage,Tournevis set,1,604.47
2023-04-19,Bricolage,Perceuse,1,105.66
2023-04-20,Maison,Étagère bois,2,559.18
2023-04-21,Bricolage,Peinture 5L,3,1827.0
2023-04-21,Bricolage,Perceuse,1,105.66
2023-04-21,Maison,Couette 220x240,1,224.09
2023-04-21,Électroménager,Micro-ondes,2,906.32
2023-04-21,Sport,Haltères 10kg,2,196.6
2023-04-22,Maison,Étagère bois,2,559.18
2023-04-23,Mode,Robe été,3,889.56
2023-04-24,Électroménager,Micro-ondes,3,1087.58
2023-04-24,Maison,Lampe LED,3,402.66
2023-04-24,Sport,Ballon foot,2,200.2
2023-04-25,Bricolage,Échelle alu,4,1418.68
2023-04-25,Électroménager,Aspirateur,1,191.18
2023-04-26,Bricolage,Tournevis set,4,2545.12
2023-04-27,Sport,Haltères 10kg,1,88.47
2023-04-28,Sport,Raquette tennis,1,706.19
2023-04-28,Mode,Baskets ville,4,1842.04
2023-04-28,Bricolage,Peinture 5L,1,609.0
2023-04-28,Sport,Vélo VTT,3,1635.63
2023-04-28,Électroménager,Cafetière,3,1176.72
2023-04-29,Mode,Baskets ville,1,460.51
2023-04-29,Électroménager,Micro-ondes,1,453.16
2023-04-30,Mode,Pull laine,4,3537.96
2023-05-01,Électroménager,Bouilloire,3,2178.12
2023-05-01,Mode,Robe été,2,563.39
2023-05-01,Bricolage,Échelle alu,4,1347.75
2023-05-01,Bricolage,Tournevis set,3,1908.84
2023-05-02,Sport,Tapis yoga,2,1316.72
2023-05-02,Bricolage,Perceuse,2,211.32
2023-05-03,Bricolage,Tournevis set,2,1272.56
2023-05-03,Maison,Set casseroles,2,1413.7
2023-05-04,Mode,Baskets ville,3,1381.53
2023-05-04,Mode,T-shirt coton,1,504.67
2023-05-04,Sport,Raquette tennis,2,1412.38
2023-05-05,Mode,Veste hiver,4,2361.56
2023-05-05,Maison,Couette 220x240,4,896.36
2023-05-05,Sport,Haltères 10kg,1,98.3
2023-05-05,Sport,Tapis yoga,1,592.52
2023-05-07,Bricolage,Peinture 5L,2,1218.0
2023-05-08,Maison,Étagère bois,4,1118.36
2023-05-08,Sport,Maillot bain,1,350.77
2023-05-10,Mode,Veste hiver,3,1967.97
2023-05-11,Mode,T-shirt coton,1,504.67
2023-05-11,Maison,Rideau occultant,3,242.9
2023-05-11,Mode,Jean homme,3,816.81
2023-05-12,Électroménager,Cafetière,1,372.63
2023-05-13,Sport,Raquette tennis,2,1412.38
2023-05-14,Maison,Couette 220x240,5,1120.45
2023-05-15,Maison,Canapé 3 places,3,738.69
2023-05-15,Sport,Maillot bain,3,1052.31
2023-05-15,Maison,Rideau occultant,2,202.42
2023-05-16,Maison,Étagère bois,1,265.61
2023-05-17,Maison,Couette 220x240,2,403.36
2023-05-17,Bricolage,Tournevis set,6,3435.91
2023-05-17,Sport,Tapis yoga,2,1316.72
2023-05-18,Sport,Ballon foot,3,300.3
2023-05-18,Maison,Couette 220x240,2,448.18
2023-05-19,Maison,Couette 220x240,1,224.09
2023-05-20,Maison,Lampe LED,4,536.88
2023-05-21,Mode,Baskets ville,1,414.46
2023-05-21,Bricolage,Tournevis set,3,1813.4
2023-05-23,Mode,Baskets ville,1,460.51
2023-05-23,Sport,Haltères 10kg,4,353.88
2023-05-23,Électroménager,Robot cuiseur,6,1349.84
2023-05-23,Électroménager,Micro-ondes,1,453.16
2023-05-23,Bricolage,Perceuse,2,211.32
2023-05-23,Maison,Couette 220x240,2,448.18
2023-05-25,Sport,Vélo VTT,4,2180.84
2023-05-25,Bricolage,Peinture 5L,2,1218.0
2023-05-25,Maison,Lampe LED,2,214.75
2023-05-25,Sport,Maillot bain,3,1052.31
2023-05-25,Sport,Chaussures running,3,1708.59
2023-05-26,Bricolage,Tournevis set,2,1208.93
2023-05-26,Bricolage,Perceuse,2,211.32
2023-05-26,Bricolage,Perceuse,4,422.64
2023-05-27,Maison,Étagère bois,1,279.59
2023-05-27,Maison,Canapé 3 places,2,492.46
2023-05-27,Électroménager,Bouilloire,3,2178.12
2023-05-28,Maison,Étagère bois,5,1258.16
2023-05-28,Mode,Robe été,1,296.52
2023-05-30,Mode,Jean homme,1,272.27
2023-05-30,Électroménager,Cafetière,1,392.24
2023-05-30,Sport,Maillot bain,2,701.54
2023-05-30,Maison,Étagère bois,1,279.59
2023-05-31,Maison,Canapé 3 places,3,664.82
2023-05-31,Maison,Lampe LED,4,536.88
2023-06-01,Maison,Étagère bois,2,559.18
2023-06-01,Électroménager,Bouilloire,3,2178.12
2023-06-02,Bricolage,Échelle alu,5,1773.35
2023-06-03,Électroménager,Réfrigérateur,3,1162.11
2023-06-04,Sport,Raquette tennis,5,3530.95
2023-06-04,Bricolage,Peinture 5L,1,609.0
2023-06-05,Sport,Maillot bain,3,1052.31
2023-06-07,Maison,Étagère bois,1,251.63
2023-06-08,Électroménager,Bouilloire,2,1452.08
2023-06-09,Mode,T-shirt coton,3,1514.01
2023-06-09,Mode,Baskets ville,1,460.51
2023-06-09,Sport,Chaussures running,1,569.53
2023-06-10,Électroménager,Réfrigérateur,3,929.69
2023-06-10,Électroménager,Cafetière,3,1176.72
2023-06-11,Bricolage,Boîte à outils,6,499.26
2023-06-11,Mode,Jean homme,2,544.54
2023-06-11,Sport,Haltères 10kg,1,98.3
2023-06-11,Électroménager,Aspirateur,4,764.72
2023-06-12,Maison,Canapé 3 places,3,738.69
2023-06-12,Électroménager,Micro-ondes,2,906.32
2023-06-12,Bricolage,Échelle alu,3,1064.01
2023-06-13,Maison,Canapé 3 places,1,233.92
2023-06-13,Mode,Veste hiver,2,1180.78
2023-06-14,Mode,T-shirt coton,1,454.2
2023-06-15,Mode,T-shirt coton,2,908.41
2023-06-16,Sport,Maillot bain,2,701.54
2023-06-16,Maison,Lampe LED,3,402.66
2023-06-17,Maison,Canapé 3 places,2,492.46
2023-06-18,Maison,Canapé 3 places,2,492.46
2023-06-19,Bricolage,Échelle alu,1,354.67
2023-06-20,Sport,Raquette tennis,3,2118.57
2023-06-20,Maison,Couette 220x240,5,1120.45
2023-06-21,Sport,Chaussures running,1,569.53
2023-06-21,Mode,Robe été,2,593.04
2023-06-21,Sport,Raquette tennis,3,2118.57
2023-06-22,Bricolage,Échelle alu,2,709.34
2023-06-22,Sport,Ballon foot,4,400.4
2023-06-23,Électroménager,Aspirateur,1,191.18
2023-06-23,Mode,T-shirt coton,1,504.67
2023-06-23,Maison,Lampe LED,3,402.66
2023-06-27,Électroménager,Aspirateur,5,955.9
2023-06-28,Mode,Robe été,1,296.52
2023-06-28,Sport,Vélo VTT,4,2180.84
2023-06-28,Bricolage,Échelle alu,3,1064.01
2023-06-29,Électroménager,Bouilloire,2,1452.08
2023-06-29,Bricolage,Échelle alu,1,354.67
2023-06-30,Mode,Baskets ville,1,414.46
2023-06-30,Sport,Haltères 10kg,1,93.38
2023-06-30,Maison,Lampe LED,2,268.44
2023-06-30,Mode,Baskets ville,1,460.51
2023-06-30,Maison,Canapé 3 places,2,492.46
2023-07-01,Mode,Jean homme,5,1361.35
2023-07-02,Bricolage,Échelle alu,3,1064.01
2023-07-02,Maison,Lampe LED,3,402.66
2023-07-03,Sport,Chaussures running,2,1139.06
2023-07-03,Maison,Étagère bois,4,1118.36
2023-07-04,Sport,Haltères 10kg,1,98.3
2023-07-05,Mode,Veste hiver,4,2623.96
2023-07-05,Bricolage,Échelle alu,5,1773.35
2023-07-05,Mode,Robe été,3,889.56
2023-07-05,Électroménager,Aspirateur,6,1147.08
2023-07-06,Mode,Jean homme,4,1089.08
2023-07-07,Sport,Maillot bain,5,1403.08
2023-07-08,Maison,Étagère bois,5,1397.95
2023-07-09,Maison,Lampe LED,3,402.66
2023-07-09,Sport,Maillot bain,5,1753.85
2023-07-09,Maison,Canapé 3 places,5,1231.15
2023-07-10,Électroménager,Bouilloire,3,2178.12
2023-07-10,Maison,Set casseroles,4,2686.03
2023-07-10,Maison,Canapé 3 places,3,738.69
2023-07-11,Électroménager,Aspirateur,4,764.72
2023-07-11,Maison,Étagère bois,2,559.18
2023-07-12,Maison,Étagère bois,4,1118.36
2023-07-12,Maison,Set casseroles,5,2827.4
2023-07-12,Bricolage,Boîte à outils,1,83.21
2023-07-12,Maison,Rideau occultant,5,506.05
2023-07-12,Mode,Robe été,1,296.52
2023-07-13,Mode,Baskets ville,6,2763.06
2023-07-13,Sport,Haltères 10kg,1,98.3
2023-07-13,Sport,Haltères 10kg,2,176.94
2023-07-15,Sport,Haltères 10kg,5,491.5
2023-07-15,Mode,T-shirt coton,3,1514.01
2023-07-15,Mode,T-shirt coton,3,1514.01
2023-07-17,Bricolage,Tournevis set,1,636.28
2023-07-17,Mode,T-shirt coton,4,2018.68
2023-07-17,Maison,Canapé 3 places,3,738.69
2023-07-17,Sport,Tapis yoga,2,1316.72
2023-07-18,Maison,Set casseroles,1,706.85
2023-07-18,Bricolage,Peinture 5L,7,4263.0
2023-07-18,Maison,Couette 220x240,1,224.09
2023-07-19,Sport,Haltères 10kg,4,393.2
2023-07-19,Mode,T-shirt coton,4,2018.68
2023-07-20,Électroménager,Bouilloire,4,2904.16
2023-07-20,Bricolage,Tournevis set,8,5090.24
2023-07-21,Bricolage,Perceuse,1,105.66
2023-07-22,Électroménager,Cafetière,5,1961.2
2023-07-27,Bricolage,Échelle alu,3,1010.81
2023-07-27,Sport,Maillot bain,5,1753.85
2023-07-28,Maison,Étagère bois,1,279.59
2023-07-28,Bricolage,Échelle alu,4,1347.75
2023-07-28,Électroménager,Réfrigérateur,5,1936.85
2023-07-28,Électroménager,Robot cuiseur,2,499.94
2023-07-29,Sport,Chaussures running,4,2164.21
2023-07-29,Bricolage,Échelle alu,1,354.67
2023-07-30,Sport,Vélo VTT,3,1635.63
2023-07-30,Mode,Jean homme,1,272.27
2023-07-31,Maison,Rideau occultant,5,480.75
2023-07-31,Sport,Raquette tennis,4,2542.28
2023-08-01,Mode,Veste hiver,1,655.99
2023-08-02,Maison,Canapé 3 places,3,738.69
2023-08-02,Sport,Vélo VTT,3,1635.63
2023-08-02,Mode,Baskets ville,5,2302.55
2023-08-03,Bricolage,Tournevis set,3,1908.84
2023-08-03,Sport,Ballon foot,3,300.3
2023-08-03,Bricolage,Boîte à outils,4,332.84
2023-08-04,Mode,Veste hiver,1,655.99
2023-08-04,Sport,Maillot bain,2,701.54
2023-08-04,Mode,Robe été,3,889.56
2023-08-05,Électroménager,Robot cuiseur,2,499.94
2023-08-06,Maison,Couette 220x240,3,672.27
2023-08-06,Bricolage,Perceuse,1,95.09
2023-08-07,Électroménager,Réfrigérateur,5,1936.85
2023-08-07,Mode,Veste hiver,4,2623.96
2023-08-09,Sport,Ballon foot,2,200.2
2023-08-10,Sport,Chaussures running,3,1708.59
2023-08-11,Mode,Veste hiver,3,1967.97
2023-08-11,Sport,Maillot bain,1,350.77
2023-08-11,Électroménager,Réfrigérateur,6,2324.22
2023-08-12,Électroménager,Robot cuiseur,3,674.92
2023-08-13,Mode,Baskets ville,5,2302.55
2023-08-13,Électroménager,Micro-ondes,5,2265.8
2023-08-13,Sport,Chaussures running,1,569.53
2023-08-14,Bricolage,Peinture 5L,2,1218.0
2023-08-14,Mode,T-shirt coton,1,504.67
2023-08-14,Bricolage,Peinture 5L,1,609.0
2023-08-15,Maison,Couette 220x240,6,1344.54
2023-08-15,Bricolage,Échelle alu,1,354.67
2023-08-16,Maison,Set casseroles,4,2827.4
2023-08-16,Maison,Étagère bois,3,838.77
2023-08-17,Électroménager,Cafetière,3,1176.72
2023-08-17,Mode,Baskets ville,3,1243.38
2023-08-18,Électroménager,Réfrigérateur,2,697.27
2023-08-18,Mode,Veste hiver,5,2951.96
2023-08-18,Sport,Raquette tennis,4,2824.76
2023-08-19,Sport,Ballon foot,5,500.5
2023-08-19,Sport,Ballon foot,1,100.1
2023-08-20,Bricolage,Perceuse,4,422.64
2023-08-20,Électroménager,Réfrigérateur,3,1162.11
2023-08-21,Maison,Canapé 3 places,1,246.23
2023-08-21,Sport,Tapis yoga,3,1975.08
2023-08-21,Bricolage,Peinture 5L,2,1218.0
2023-08-21,Bricolage,Boîte à outils,3,249.63
2023-08-22,Bricolage,Boîte à outils,6,499.26
2023-08-23,Électroménager,Aspirateur,3,573.54
2023-08-23,Maison,Lampe LED,2,268.44
2023-08-23,Sport,Maillot bain,2,701.54
2023-08-24,Mode,Veste hiver,3,1967.97
2023-08-25,Sport,Haltères 10kg,3,294.9
2023-08-25,Électroménager,Robot cuiseur,1,249.97
2023-08-26,Sport,Haltères 10kg,1,98.3
2023-08-26,Maison,Rideau occultant,1,101.21
2023-08-26,Électroménager,Robot cuiseur,5,1249.85
2023-08-27,Bricolage,Échelle alu,1,354.67
2023-08-28,Sport,Raquette tennis,1,706.19
2023-08-28,Maison,Couette 220x240,1,212.89
2023-08-29,Maison,Lampe LED,3,402.66
2023-08-29,Maison,Lampe LED,2,268.44
2023-08-29,Électroménager,Bouilloire,3,2178.12
2023-08-29,Électroménager,Micro-ondes,3,1359.48
2023-08-30,Mode,Jean homme,2,544.54
2023-08-30,Sport,Raquette tennis,3,1906.71
2023-08-31,Maison,Étagère bois,1,279.59
2023-08-31,Bricolage,Échelle alu,1,354.67
2023-09-01,Bricolage,Peinture 5L,6,3654.0
2023-09-02,Mode,Veste hiver,4,2623.96
2023-09-02,Électroménager,Aspirateur,3,573.54
2023-09-03,Sport,Maillot bain,2,701.54
2023-09-04,Électroménager,Robot cuiseur,4,949.89
2023-09-04,Maison,Rideau occultant,1,101.21
2023-09-05,Mode,Pull laine,5,4422.45
2023-09-05,Sport,Chaussures running,3,1708.59
2023-09-05,Mode,Robe été,3,889.56
2023-09-06,Bricolage,Boîte à outils,1,83.21
2023-09-06,Électroménager,Bouilloire,1,726.04
2023-09-06,Sport,Raquette tennis,3,2118.57
2023-09-07,Mode,Robe été,1,296.52
2023-09-07,Maison,Set casseroles,3,2120.55
2023-09-08,Bricolage,Peinture 5L,3,1735.65
2023-09-08,Électroménager,Cafetière,3,1176.72
2023-09-10,Maison,Étagère bois,3,838.77
2023-09-10,Sport,Raquette tennis,3,2118.57
2023-09-11,Sport,Maillot bain,1,350.77
2023-09-11,Maison,Lampe LED,1,134.22
2023-09-12,Mode,Robe été,3,800.6
2023-09-12,Sport,Raquette tennis,4,2824.76
2023-09-13,Sport,Ballon foot,3,300.3
2023-09-13,Bricolage,Perceuse,1,105.66
2023-09-14,Maison,Canapé 3 places,5,1231.15
2023-09-15,Maison,Rideau occultant,3,288.45
2023-09-15,Maison,Set casseroles,1,706.85
2023-09-15,Maison,Couette 220x240,2,448.18
2023-09-15,Électroménager,Cafetière,4,1568.96
2023-09-16,Sport,Vélo VTT,3,1635.63
2023-09-16,Sport,Tapis yoga,1,592.52
2023-09-17,Mode,Veste hiver,1,655.99
2023-09-18,Électroménager,Réfrigérateur,2,774.74
2023-09-18,Électroménager,Bouilloire,1,726.04
2023-09-18,Maison,Canapé 3 places,3,590.95
2023-09-18,Mode,Baskets ville,1,437.48
2023-09-19,Bricolage,Boîte à outils,3,249.63
2023-09-19,Électroménager,Robot cuiseur,2,499.94
2023-09-19,Sport,Haltères 10kg,1,98.3
2023-09-19,Électroménager,Micro-ondes,3,1359.48
2023-09-20,Électroménager,Bouilloire,1,726.04
2023-09-20,Maison,Étagère bois,2,531.22
2023-09-20,Sport,Chaussures running,4,2278.12
2023-09-21,Bricolage,Boîte à outils,2,166.42
2023-09-21,Maison,Canapé 3 places,1,196.98
2023-09-22,Bricolage,Boîte à outils,5,416.05
2023-09-22,Mode,Baskets ville,3,1312.45
2023-09-23,Électroménager,Cafetière,1,392.24
2023-09-23,Électroménager,Robot cuiseur,4,999.88
2023-09-24,Électroménager,Aspirateur,1,191.18
2023-09-24,Électroménager,Cafetière,3,1176.72
2023-09-25,Sport,Vélo VTT,4,2071.8
2023-09-25,Bricolage,Échelle alu,1,354.67
2023-09-26,Sport,Raquette tennis,4,2824.76
2023-09-28,Sport,Raquette tennis,4,2824.76
2023-09-28,Maison,Canapé 3 places,2,443.21
2023-09-29,Sport,Raquette tennis,3,2118.57
2023-09-30,Électroménager,Cafetière,4,1568.96
2023-10-01,Maison,Étagère bois,3,838.77
2023-10-02,Maison,Canapé 3 places,4,984.92
2023-10-03,Maison,Lampe LED,3,402.66
2023-10-03,Sport,Ballon foot,5,500.5
2023-10-03,Sport,Maillot bain,5,1753.85
