date,ville,type,categorie,produit,quantite,prix_unitaire,remise,montant,marge,client_id
2024-06-22,EN LIGNE,E-commerce,Mode,Robe été,2.0,296.52,0.0,593.04,144.92,242.0
2024-12-19,roubaix,Magasin,Sport,Raquette tennis,1.0,706.19,0.0,706.19,362.04,36.0
14/08/2023,TOURCOING,Magasin,Bricolage,Peinture 5L,2.0,609.0,0.0,,650.92,384.0
13/11/2023,Lille,Magasin,Sport,Raquette tennis,3.0,706.19,0.0,2118.57,1086.12,47.0
2024-03-06,AMIENS,Magasin,Maison,Set casseroles,2.0,706.85,0.0,1413.7,815.34,584.0
2024-11-06,  Roubaix ,Magasin,Maison,Rideau occultant,2.0,101.21,0.0,202.42,89.78,282.0
2023-11-25,Valenciennes,Magasin,Bricolage,Peinture 5L,4.0,609.0,0.05,2314.2,1180.04,327.0
17/05/2023,Amiens,Magasin,Mode,Baskets ville,1.0,460.51,0.0,460.51,148.05,341.0
17/05/2023,Valenciennes,Magasin,Bricolage,Peinture 5L,3.0,609.0,0.0,1827.0,976.38,412.0
09/04/2024,Lille,Magasin,Électroménager,Cafetière,2.0,392.24,0.05,,389.9,
2023-10-12,Tourcoing,Magasin,Maison,Lampe LED,2.0,134.22,0.05,255.02,123.14,422.0
2024-08-02,Roubaix,Magasin,Sport,Raquette tennis,3.0,706.19,0.0,2118.57,1086.12,459.0
2024-05-29,LILLE,Magasin,Électroménager,Micro-ondes,3.0,453.16,0.05,1291.51,446.71,349.0
2024-01-26,Amiens,Magasin,Bricolage,Échelle alu,6.0,354.67,0.0,2128.02,1010.4,112.0
2024-01-05,dunkerque,Magasin,Mode,Veste hiver,,655.99,0.05,1246.38,582.56,36.0
2023-06-30,  Lille ,Magasin,Électroménager,Réfrigérateur,5.0,387.37,0.0,1936.85,563.9,468.0
2024-03-13,  Dunkerque ,Magasin,Sport,Chaussures running,3.0,569.53,0.0,1708.59,930.6,355.0
04/04/2024,En ligne,E-commerce,Sport,Raquette tennis,3.0,706.19,0.0,2118.57,1086.12,272.0
29/08/2023,Amiens,Magasin,Mode,Robe été,2.0,296.52,0.0,593.04,144.92,78.0
2024-04-14,roubaix,Magasin,Sport,Haltères 10kg,2.0,98.3,0.0,196.6,85.4,350.0
2024-11-05,Lille,Magasin,Électroménager,Cafetière,3.0,392.24,0.0,1176.72,643.68,470.0
2023-02-20,  Lille ,Magasin,Sport,Maillot bain,3.0,350.77,0.0,1052.31,597.9,313.0
2023-06-29,Amiens,Magasin,Maison,Étagère bois,3.0,279.59,0.0,838.77,267.36,499.0
2023-03-17,Amiens,Magasin,Sport,Vélo VTT,2.0,545.21,0.0,1090.42,469.0,189.0
2024-04-06,Amiens,Magasin,Bricolage,Échelle alu,1.0,354.67,0.1,319.2,132.93,
2024-11-10,Dunkerque,Magasin,Bricolage,Boîte à outils,2.0,83.21,0.0,166.42,45.98,587.0
2023-12-30,ROUBAIX,Magasin,Maison,Set casseroles,,706.85,0.05,4029.04,2233.96,229.0
19/03/2024,TOURCOING,Magasin,Bricolage,Échelle alu,2.0,354.67,0.05,,301.33,315.0
2024-02-26,en ligne,E-commerce,Sport,Ballon foot,4.0,100.1,0.0,400.4,231.6,286.0
2023-12-29,Dunkerque,Magasin,Maison,Étagère bois,8.0,279.59,0.0,2236.72,712.96,430.0
2024-04-13,en ligne,E-commerce,Maison,Set casseroles,5.0,706.85,0.2,2827.4,1331.5,25.0
2023-01-25,  Tourcoing ,Magasin,Sport,Vélo VTT,6.0,545.21,0.05,3107.7,1243.44,487.0
2023-03-19,VALENCIENNES,Magasin,Maison,Set casseroles,1.0,706.85,0.0,706.85,407.67,266.0
2023-12-05,Amiens,Magasin,Électroménager,Bouilloire,2.0,726.04,0.0,1452.08,784.6,91.0
2024-10-28,Dunkerque,Magasin,Sport,Vélo VTT,4.0,545.21,0.0,2180.84,938.0,144.0
2024-05-05,  Valenciennes ,Magasin,Bricolage,Boîte à outils,1.0,83.21,0.0,83.21,22.99,504.0
08/04/2024,Lille,Magasin,Mode,Jean homme,1.0,272.27,0.0,272.27,92.12,52.0
2023-05-24,LILLE,Magasin,Sport,Vélo VTT,2.0,545.21,0.0,1090.42,469.0,128.0
12/09/2023,En ligne,E-commerce,Sport,Tapis yoga,2.0,658.36,0.0,1316.72,705.42,31.0
2024-05-10,Dunkerque,Magasin,Mode,T-shirt coton,1.0,504.67,0.0,504.67,200.23,90.0
2024-04-22,Tourcoing,Magasin,Bricolage,Boîte à outils,3.0,83.21,0.0,249.63,68.97,292.0
2023-10-02,Tourcoing,Magasin,Maison,Canapé 3 places,4.0,246.23,0.0,984.92,227.52,251.0
2024-03-06,Dunkerque,Magasin,Électroménager,Bouilloire,1.0,726.04,0.0,,392.3,246.0
2024-06-20,Dunkerque,Magasin,Sport,Raquette tennis,4.0,706.19,0.0,2824.76,1448.16,402.0
2024-05-19,Lille,Magasin,Maison,Canapé 3 places,2.0,246.23,0.0,"492,46",113.76,61.0
2023-09-27,Amiens,Magasin,Maison,Set casseroles,1.0,706.85,0.0,706.85,407.67,126.0
2023-01-29,VALENCIENNES,Magasin,Mode,Baskets ville,2.0,460.51,0.0,921.02,296.1,430.0
2023-05-09,En ligne,E-commerce,Sport,Ballon foot,1.0,100.1,0.0,100.1,57.9,128.0
2024-01-10,amiens,Magasin,Mode,T-shirt coton,4.0,504.67,0.0,2018.68,800.92,298.0
09/05/2024,  Lille ,Magasin,Mode,Jean homme,1.0,272.27,0.0,272.27,92.12,71.0
2024-12-25,lille,Magasin,Bricolage,Boîte à outils,3.0,83.21,0.2,199.7,19.04,561.0
2023-03-22,  Tourcoing ,Magasin,Sport,Maillot bain,4.0,350.77,0.0,1403.08,797.2,418.0
2024-11-27,Dunkerque,Magasin,Bricolage,Boîte à outils,2.0,83.21,0.0,"166,42",45.98,285.0
2023-09-14,Valenciennes,Magasin,Mode,Jean homme,6.0,272.27,0.0,"1633,62",552.72,507.0
2024-01-21,En ligne,E-commerce,Électroménager,Robot cuiseur,6.0,249.97,0.0,1499.82,551.52,151.0
2023-05-07,Lille,Magasin,Sport,Haltères 10kg,3.0,98.3,0.0,294.9,128.1,512.0
2023-07-27,EN LIGNE,E-commerce,Électroménager,Cafetière,4.0,392.24,0.0,1568.96,858.24,18.0
2023-11-05,Roubaix,Magasin,Sport,Haltères 10kg,2.0,98.3,0.0,196.6,85.4,442.0
2023-03-03,tourcoing,Magasin,Sport,Haltères 10kg,1.0,98.3,0.0,98.3,42.7,122.0
25/12/2023,LILLE,Magasin,Sport,Ballon foot,4.0,100.1,0.0,"400,4",231.6,266.0
30/04/2023,  En ligne ,E-commerce,Mode,T-shirt coton,5.0,504.67,0.0,2523.35,1001.15,527.0
2023-08-30,Amiens,Magasin,Bricolage,Boîte à outils,,83.21,0.0,249.63,68.97,373.0
11/09/2023,  Valenciennes ,Magasin,Maison,Couette 220x240,2.0,224.09,0.0,448.18,180.78,223.0
2023-09-29,  Dunkerque ,Magasin,Mode,Baskets ville,3.0,460.51,0.0,1381.53,444.15,594.0
2023-08-22,lille,Magasin,Maison,Lampe LED,2.0,134.22,0.0,268.44,136.56,156.0
26/08/2024,roubaix,Magasin,Mode,Veste hiver,4.0,655.99,0.0,"2623,96",1296.32,77.0
2024-06-13,Amiens,Magasin,Maison,Couette 220x240,3.0,224.09,0.0,672.27,271.17,401.0
2024-01-08,En ligne,E-commerce,Maison,Lampe LED,,134.22,0.0,402.66,204.84,244.0
2024-08-18,LILLE,Magasin,Électroménager,Robot cuiseur,3.0,249.97,0.0,749.91,275.76,148.0
2024-09-15,Dunkerque,Magasin,Bricolage,Boîte à outils,,83.21,0.0,249.63,68.97,172.0
2024-09-01,Roubaix,Magasin,Mode,Veste hiver,1.0,655.99,0.2,524.79,192.88,347.0
2023-08-26,AMIENS,Magasin,Bricolage,Peinture 5L,2.0,609.0,0.0,1218.0,650.92,4.0
2024-03-15,Dunkerque,Magasin,Mode,Pull laine,1.0,884.49,0.0,884.49,496.06,338.0
2023-01-23,DUNKERQUE,Magasin,Bricolage,Boîte à outils,,83.21,0.0,83.21,22.99,408.0
2023-08-25,  Lille ,Magasin,Bricolage,Peinture 5L,1.0,609.0,0.0,609.0,325.46,52.0
2023-05-28,Valenciennes,Magasin,Mode,T-shirt coton,2.0,504.67,0.0,1009.34,400.46,480.0
2024-02-19,Amiens,Magasin,Maison,Couette 220x240,1.0,224.09,0.0,224.09,90.39,554.0
2023-12-28,tourcoing,Magasin,Électroménager,Cafetière,,392.24,0.0,2745.68,1501.92,442.0
2024-01-05,  Lille ,Magasin,Sport,Vélo VTT,4.0,545.21,0.0,2180.84,938.0,239.0
2024-09-27,en ligne,E-commerce,Électroménager,Micro-ondes,3.0,453.16,0.0,1359.48,514.68,353.0
2023-05-08,En ligne,E-commerce,Électroménager,Aspirateur,4.0,191.18,0.05,726.48,347.96,376.0
2024-01-07,Dunkerque,Magasin,Mode,T-shirt coton,5.0,504.67,0.1,,748.82,361.0
2023-10-22,roubaix,Magasin,Mode,T-shirt coton,4.0,504.67,0.1,"1816,81",599.05,359.0
2024-11-27,en ligne,E-commerce,Mode,T-shirt coton,1.0,504.67,0.0,504.67,200.23,282.0
2024-05-06,dunkerque,Magasin,Électroménager,Micro-ondes,2.0,453.16,0.05,861.0,297.8,271.0
2024-05-30,Lille,Magasin,Maison,Canapé 3 places,1.0,246.23,0.1,221.61,32.26,499.0
14/09/2024,Valenciennes,Magasin,Mode,Veste hiver,6.0,655.99,0.0,3935.94,1944.48,194.0
2023-09-07,Lille,Magasin,Sport,Haltères 10kg,2.0,98.3,0.05,186.77,75.57,235.0
2024-03-12,Roubaix,Magasin,Mode,Jean homme,,272.27,0.05,517.31,157.01,483.0
24/08/2024,tourcoing,Magasin,Électroménager,Bouilloire,1.0,726.04,0.0,"726,04",392.3,324.0
2023-09-27,  Lille ,Magasin,Mode,Veste hiver,5.0,655.99,0.05,3115.95,1456.4,433.0
28/01/2024,Amiens,Magasin,Maison,Étagère bois,6.0,279.59,0.0,"1677,54",534.72,597.0
2023-08-24,valenciennes,Magasin,Sport,Raquette tennis,3.0,706.19,0.0,2118.57,1086.12,329.0
2024-10-24,dunkerque,Magasin,Mode,Pull laine,1.0,884.49,0.0,884.49,496.06,292.0
2024-06-25,Lille,Magasin,Sport,Chaussures running,3.0,569.53,0.0,1708.59,930.6,486.0
2024-02-05,En ligne,E-commerce,Maison,Set casseroles,2.0,706.85,0.0,1413.7,815.34,205.0
2024-06-06,Dunkerque,Magasin,Maison,Étagère bois,1.0,279.59,0.1,251.63,61.16,409.0
2024-05-19,Valenciennes,Magasin,Électroménager,Micro-ondes,2.0,453.16,0.05,861.0,297.8,
2023-03-20,Dunkerque,Magasin,Bricolage,Boîte à outils,2.0,83.21,0.2,133.14,12.7,577.0
2024-03-16,Dunkerque,Magasin,Électroménager,Réfrigérateur,4.0,387.37,0.0,1549.48,451.12,40.0
2024-12-27,  Roubaix ,Magasin,Électroménager,Aspirateur,3.0,191.18,0.05,544.86,260.97,34.0
2024-08-12,Amiens,Magasin,Sport,Haltères 10kg,3.0,98.3,0.0,294.9,128.1,260.0
15/09/2023,tourcoing,Magasin,Maison,Rideau occultant,3.0,101.21,0.05,288.45,119.49,26.0
2023-07-20,valenciennes,Magasin,Maison,Rideau occultant,2.0,101.21,0.0,202.42,89.78,540.0
2024-09-28,Lille,Magasin,Électroménager,Robot cuiseur,1.0,249.97,0.0,"249,97",91.92,214.0
2023-06-07,Dunkerque,Magasin,Maison,Couette 220x240,4.0,224.09,0.0,896.36,361.56,297.0
2024-04-25,Roubaix,Magasin,Bricolage,Boîte à outils,4.0,83.21,0.0,332.84,91.96,333.0
02/01/2024,Lille,Magasin,Électroménager,Robot cuiseur,6.0,249.97,0.0,,551.52,
26/11/2024,Tourcoing,Magasin,Mode,Veste hiver,1.0,655.99,0.0,655.99,324.08,95.0
2024-12-27,Valenciennes,Magasin,Sport,Raquette tennis,2.0,706.19,0.0,1412.38,724.08,257.0
2024-10-01,Dunkerque,Magasin,Bricolage,Tournevis set,4.0,636.28,0.0,2545.12,1281.76,600.0
26/09/2024,En ligne,E-commerce,Électroménager,Micro-ondes,1.0,453.16,0.1,407.84,126.24,
01/05/2024,  Tourcoing ,Magasin,Bricolage,Tournevis set,5.0,636.28,0.0,3181.4,1602.2,320.0
17/10/2023,Dunkerque,Magasin,Électroménager,Réfrigérateur,5.0,387.37,0.0,1936.85,563.9,
2024-10-31,Amiens,Magasin,Maison,Étagère bois,2.0,279.59,0.0,559.18,178.24,589.0
2023-04-01,Lille,Magasin,Sport,Vélo VTT,1.0,545.21,0.0,545.21,234.5,297.0
30/06/2024,Valenciennes,Magasin,Mode,Baskets ville,2.0,460.51,0.0,921.02,296.1,301.0
2024-07-22,Roubaix,Magasin,Sport,Tapis yoga,2.0,658.36,0.0,1316.72,705.42,484.0
2024-02-01,En ligne,E-commerce,Maison,Rideau occultant,2.0,101.21,0.0,202.42,89.78,279.0
24/08/2023,Roubaix,Magasin,Bricolage,Échelle alu,1.0,354.67,0.0,354.67,168.4,183.0
2024-06-06,  Roubaix ,Magasin,Électroménager,Robot cuiseur,4.0,249.97,0.05,949.89,317.69,33.0
23/05/2023,Valenciennes,Magasin,Sport,Raquette tennis,1.0,706.19,0.0,706.19,362.04,544.0
2024-02-01,Roubaix,Magasin,Mode,Robe été,2.0,296.52,0.0,593.04,144.92,166.0
2024-06-22,Lille,Magasin,Mode,Jean homme,1.0,272.27,0.0,272.27,92.12,103.0
2024-03-21,Roubaix,Magasin,Sport,Tapis yoga,3.0,658.36,0.0,,1058.13,578.0
01/12/2024,Valenciennes,Magasin,Électroménager,Bouilloire,6.0,726.04,0.0,4356.24,2353.8,241.0
2024-09-05,En ligne,E-commerce,Mode,T-shirt coton,3.0,504.67,0.0,1514.01,600.69,
15/01/2024,Tourcoing,Magasin,Mode,T-shirt coton,7.0,504.67,0.05,3356.06,1224.98,10.0
2023-05-07,  Roubaix ,Magasin,Bricolage,Peinture 5L,3.0,609.0,0.05,1735.65,885.03,199.0
2024-07-30,Tourcoing,Magasin,Bricolage,Boîte à outils,4.0,83.21,0.1,299.56,58.68,17.0
2024-10-09,En ligne,E-commerce,Sport,Haltères 10kg,4.0,98.3,0.0,393.2,170.8,
2023-11-28,  Dunkerque ,Magasin,Sport,Chaussures running,2.0,569.53,0.0,"1139,06",620.4,146.0
2024-09-13,  Lille ,Magasin,Mode,T-shirt coton,1.0,504.67,0.0,504.67,200.23,159.0
2024-09-16,Lille,Magasin,Sport,Raquette tennis,2.0,706.19,0.0,1412.38,724.08,411.0
2024-10-12,Lille,Magasin,Mode,T-shirt coton,3.0,504.67,0.0,1514.01,600.69,10.0
2023-12-11,Roubaix,Magasin,Mode,Pull laine,7.0,884.49,0.2,4953.14,2234.13,468.0
12/09/2024,En ligne,E-commerce,Mode,Baskets ville,4.0,460.51,0.0,1842.04,592.2,473.0
2024-11-02,  Valenciennes ,Magasin,Sport,Raquette tennis,4.0,706.19,0.0,2824.76,1448.16,263.0
2023-07-21,Roubaix,Magasin,Électroménager,Micro-ondes,,453.16,0.05,861.0,297.8,291.0
2024-02-20,Valenciennes,Magasin,Électroménager,Micro-ondes,3.0,453.16,0.05,1291.51,446.71,185.0
16/01/2024,Lille,Magasin,Électroménager,Robot cuiseur,2.0,249.97,0.0,499.94,183.84,421.0
2024-12-04,lille,Magasin,Électroménager,Micro-ondes,5.0,453.16,0.0,2265.8,857.8,266.0
2024-03-20,Roubaix,Magasin,Bricolage,Peinture 5L,1.0,609.0,0.0,609.0,325.46,309.0
10/03/2023,Dunkerque,Magasin,Électroménager,Robot cuiseur,2.0,249.97,0.2,399.95,83.85,260.0
2023-05-15,Lille,Magasin,Sport,Maillot bain,2.0,350.77,0.0,"701,54",398.6,159.0
2024-01-19,  Amiens ,Magasin,Mode,Veste hiver,5.0,655.99,0.0,"3279,95",1620.4,487.0
2024-01-04,Valenciennes,Magasin,Sport,Vélo VTT,1.0,545.21,0.0,545.21,234.5,282.0
2023-04-09,Lille,Magasin,Bricolage,Tournevis set,-3.0,636.28,0.0,1908.84,961.32,118.0
2024-12-29,roubaix,Magasin,Bricolage,Boîte à outils,7.0,83.21,0.0,582.47,160.93,47.0
2023-06-07,LILLE,Magasin,Électroménager,Robot cuiseur,1.0,249.97,0.0,249.97,91.92,300.0
2024-10-25,valenciennes,Magasin,Mode,Jean homme,3.0,272.27,0.05,775.97,235.52,462.0
2023-01-15,dunkerque,Magasin,Mode,T-shirt coton,5.0,504.67,0.05,,874.98,107.0
07/06/2023,Dunkerque,Magasin,Bricolage,Tournevis set,2.0,636.28,0.0,1272.56,640.88,316.0
2024-03-21,  Lille ,Magasin,Électroménager,Bouilloire,2.0,726.04,0.0,"1452,08",784.6,403.0
2024-12-01,tourcoing,Magasin,Sport,Maillot bain,2.0,350.77,0.0,701.54,398.6,292.0
15/10/2024,Amiens,Magasin,Mode,Pull laine,1.0,884.49,0.0,884.49,496.06,17.0
2024-09-24,Valenciennes,Magasin,Sport,Chaussures running,3.0,569.53,0.0,1708.59,930.6,
2023-09-15,Lille,Magasin,Mode,T-shirt coton,2.0,504.67,0.2,807.47,198.59,428.0
2023-02-21,Roubaix,Magasin,Électroménager,Bouilloire,2.0,726.04,0.0,1452.08,784.6,305.0
2023-07-15,tourcoing,Magasin,Mode,T-shirt coton,3.0,504.67,0.0,1514.01,600.69,191.0
2024-12-25,En ligne,E-commerce,Mode,Veste hiver,6.0,655.99,0.2,3148.75,1157.29,207.0
12/06/2023,en ligne,E-commerce,Sport,Vélo VTT,1.0,545.21,0.0,545.21,234.5,375.0
2024-10-02,Tourcoing,Magasin,Sport,Raquette tennis,5.0,706.19,0.0,3530.95,1810.2,206.0
2023-01-30,lille,Magasin,Bricolage,Perceuse,4.0,105.66,0.0,422.64,86.8,86.0
2023-08-19,Roubaix,Magasin,Sport,Maillot bain,4.0,350.77,0.0,1403.08,797.2,297.0
2024-09-09,Amiens,Magasin,Sport,Chaussures running,5.0,569.53,0.0,2847.65,1551.0,400.0
2024-12-10,Dunkerque,Magasin,Sport,Haltères 10kg,6.0,98.3,0.0,589.8,256.2,318.0
2023-12-31,TOURCOING,Magasin,Électroménager,Réfrigérateur,,387.37,0.0,"3098,96",902.24,354.0
2023-01-21,amiens,Magasin,Bricolage,Peinture 5L,5.0,609.0,0.0,3045.0,1627.3,439.0
2023-06-12,En ligne,E-commerce,Mode,Pull laine,2.0,884.49,0.0,"1768,98",992.12,541.0
2023-01-26,Tourcoing,Magasin,Maison,Canapé 3 places,5.0,246.23,0.0,1231.15,284.4,146.0
2024-05-08,  Roubaix ,Magasin,Sport,Raquette tennis,1.0,706.19,0.1,635.57,291.42,377.0
2024-09-26,Lille,Magasin,Bricolage,Boîte à outils,1.0,83.21,0.0,83.21,22.99,
30/11/2024,Valenciennes,Magasin,Électroménager,Aspirateur,3.0,191.18,0.0,,289.65,52.0
26/09/2023,Valenciennes,Magasin,Bricolage,Boîte à outils,5.0,83.21,0.0,416.05,114.95,464.0
2024-03-16,Dunkerque,Magasin,Maison,Couette 220x240,3.0,224.09,0.0,"672,27",271.17,592.0
2023-09-24,DUNKERQUE,Magasin,Maison,Lampe LED,-2.0,134.22,0.0,268.44,136.56,101.0
2024-05-09,Tourcoing,Magasin,Électroménager,Aspirateur,,191.18,0.0,382.36,193.1,
2024-12-25,Dunkerque,Magasin,Bricolage,Perceuse,4.0,105.66,0.0,422.64,86.8,510.0
2023-02-06,AMIENS,Magasin,Électroménager,Robot cuiseur,1.0,249.97,0.1,224.97,66.92,242.0
2024-08-03,Lille,Magasin,Bricolage,Perceuse,1.0,105.66,0.0,105.66,21.7,213.0
2024-03-07,  En ligne ,E-commerce,Bricolage,Tournevis set,1.0,636.28,0.05,604.47,288.63,365.0
2024-06-07,Lille,Magasin,Électroménager,Bouilloire,2.0,726.04,0.0,1452.08,784.6,
2023-01-27,Lille,Magasin,Bricolage,Perceuse,,105.66,0.1,380.38,44.54,573.0
2024-07-28,amiens,Magasin,Maison,Rideau occultant,1.0,101.21,0.0,101.21,44.89,288.0
2023-09-29,  Tourcoing ,Magasin,Sport,Raquette tennis,3.0,706.19,0.0,2118.57,1086.12,443.0
2024-02-14,Amiens,Magasin,Mode,Veste hiver,5.0,655.99,0.0,3279.95,1620.4,107.0
