date,categorie,produit,quantite,montant
2023-04-29,Maison,Rideau occultant,2,202.42
2023-05-02,Mode,T-shirt coton,4,2018.68
2023-05-02,Mode,Baskets ville,4,1842.04
2023-05-04,Sport,Ballon foot,3,300.3
2023-05-04,Électroménager,Bouilloire,3,2178.12
2023-05-06,Maison,Étagère bois,5,1397.95
2023-05-06,Bricolage,Perceuse,2,211.32
2023-05-07,Sport,Ballon foot,2,200.2
2023-05-08,Électroménager,Robot cuiseur,3,712.41
2023-05-09,Sport,Tapis yoga,1,658.36
2023-05-11,Mode,Veste hiver,3,1967.97
2023-05-11,Maison,Étagère bois,6,1677.54
2023-05-12,Bricolage,Perceuse,5,528.3
2023-05-12,Maison,Lampe LED,1,134.22
2023-05-12,Mode,Baskets ville,1,460.51
2023-05-13,Maison,Couette 220x240,3,672.27
2023-05-13,Maison,Lampe LED,1,134.22
2023-05-14,Mode,Jean homme,4,1089.08
2023-05-14,Maison,Lampe LED,3,402.66
2023-05-15,Sport,Haltères 10kg,1,98.3
2023-05-16,Mode,Pull laine,1,707.59
2023-05-16,Sport,Tapis yoga,3,1975.08
2023-05-17,Électroménager,Réfrigérateur,3,1162.11
2023-05-17,Bricolage,Peinture 5L,3,1827.0
2023-05-17,Mode,Jean homme,3,816.81
2023-05-18,Maison,Étagère bois,3,838.77
2023-05-18,Sport,Tapis yoga,3,1975.08
2023-05-20,Maison,Canapé 3 places,1,246.23
2023-05-20,Mode,Pull laine,2,1680.53
2023-05-20,Électroménager,Robot cuiseur,3,749.91
2023-05-23,Maison,Couette 220x240,2,358.54
2023-05-23,Mode,Robe été,3,889.56
2023-05-23,Sport,Raquette tennis,1,706.19
2023-05-23,Mode,Robe été,2,593.04
2023-05-24,Maison,Lampe LED,1,134.22
2023-05-25,Électroménager,Robot cuiseur,5,1249.85
2023-05-25,Bricolage,Perceuse,2,211.32
2023-05-26,Mode,T-shirt coton,1,504.67
2023-05-27,Électroménager,Micro-ondes,1,453.16
2023-05-27,Électroménager,Robot cuiseur,5,999.88
2023-05-27,Maison,Set casseroles,4,2686.03
2023-05-28,Maison,Canapé 3 places,1,246.23
2023-05-28,Mode,T-shirt coton,2,1009.34
2023-05-28,Mode,Veste hiver,1,655.99
2023-05-30,Maison,Couette 220x240,2,448.18
2023-05-30,Maison,Lampe LED,5,671.1
2023-05-30,Sport,Chaussures running,4,2278.12
2023-05-30,Sport,Tapis yoga,2,1316.72
2023-05-31,Maison,Rideau occultant,2,202.42
2023-05-31,Sport,Haltères 10kg,3,294.9
2023-06-01,Électroménager,Cafetière,3,1176.72
2023-06-03,Mode,T-shirt coton,1,504.67
2023-06-03,Maison,Canapé 3 places,1,246.23
2023-06-04,Maison,Set casseroles,1,706.85
2023-06-04,Sport,Maillot bain,5,1753.85
2023-06-05,Maison,Set casseroles,1,706.85
2023-06-06,Bricolage,Perceuse,5,528.3
2023-06-07,Sport,Vélo VTT,1,545.21
2023-06-07,Bricolage,Boîte à outils,2,133.14
2023-06-10,Bricolage,Échelle alu,3,1010.81
2023-06-10,Bricolage,Tournevis set,3,1908.84
2023-06-11,Sport,Maillot bain,3,947.08
2023-06-11,Maison,Rideau occultant,3,288.45
2023-06-13,Mode,Robe été,6,1779.12
2023-06-14,Sport,Chaussures running,3,1708.59
2023-06-14,Bricolage,Peinture 5L,1,609.0
2023-06-14,Bricolage,Boîte à outils,6,499.26
2023-06-14,Mode,Robe été,1,296.52
2023-06-14,Bricolage,Échelle alu,1,354.67
2023-06-14,Sport,Haltères 10kg,1,88.47
2023-06-15,Sport,Haltères 10kg,3,294.9
2023-06-15,Bricolage,Échelle alu,1,354.67
2023-06-16,Mode,Jean homme,5,1361.35
2023-06-17,Maison,Rideau occultant,1,101.21
2023-06-18,Sport,Tapis yoga,2,1316.72
2023-06-18,Électroménager,Bouilloire,4,2758.95
2023-06-19,Sport,Chaussures running,2,1139.06
2023-06-20,Maison,Set casseroles,3,2120.55
2023-06-22,Bricolage,Boîte à outils,2,166.42
2023-06-22,Mode,Pull laine,2,1768.98
2023-06-22,Sport,Tapis yoga,2,1316.72
2023-06-22,Sport,Chaussures running,4,2164.21
2023-06-22,Mode,Baskets ville,4,1842.04
2023-06-23,Bricolage,Tournevis set,3,1908.84
2023-06-23,Mode,Pull laine,5,3537.96
2023-06-24,Électroménager,Robot cuiseur,2,499.94
2023-06-24,Maison,Rideau occultant,1,80.97
2023-06-24,Électroménager,Robot cuiseur,1,249.97
2023-06-24,Sport,Chaussures running,4,2278.12
2023-06-24,Maison,Couette 220x240,2,448.18
2023-06-24,Mode,Robe été,2,593.04
2023-06-25,Maison,Étagère bois,5,1397.95
2023-06-25,Maison,Étagère bois,1,279.59
2023-06-25,Électroménager,Bouilloire,2,1379.48
2023-06-26,Bricolage,Échelle alu,1,319.2
2023-06-26,Maison,Rideau occultant,4,404.84
2023-06-27,Sport,Raquette tennis,3,2118.57
2023-06-27,Électroménager,Réfrigérateur,4,1549.48
2023-06-27,Sport,Tapis yoga,2,1316.72
2023-06-28,Maison,Couette 220x240,2,403.36
2023-06-28,Sport,Tapis yoga,5,3291.8
2023-06-29,Bricolage,Peinture 5L,3,1735.65
2023-06-30,Sport,Maillot bain,3,1052.31
2023-06-30,Maison,Set casseroles,2,1413.7
2023-06-30,Électroménager,Robot cuiseur,3,674.92
2023-06-30,Mode,Baskets ville,1,460.51
2023-06-30,Bricolage,Peinture 5L,3,1827.0
2023-06-30,Bricolage,Échelle alu,1,336.94
2023-07-01,Électroménager,Robot cuiseur,3,749.91
2023-07-01,Électroménager,Réfrigérateur,4,1549.48
2023-07-02,Électroménager,Cafetière,5,1961.2
2023-07-02,Bricolage,Perceuse,3,301.13
2023-07-02,Sport,Haltères 10kg,4,393.2
2023-07-04,Mode,Pull laine,8,6368.33
2023-07-05,Maison,Canapé 3 places,3,738.69
2023-07-05,Sport,Maillot bain,3,999.69
2023-07-06,Sport,Maillot bain,4,1403.08
2023-07-06,Mode,Veste hiver,1,655.99
2023-07-06,Bricolage,Échelle alu,5,1596.02
2023-07-06,Mode,T-shirt coton,7,3532.69
2023-07-07,Sport,Ballon foot,1,100.1
2023-07-07,Sport,Raquette tennis,4,2259.81
2023-07-07,Mode,Pull laine,1,884.49
2023-07-07,Mode,T-shirt coton,4,2018.68
2023-07-08,Électroménager,Micro-ondes,5,2265.8
2023-07-09,Sport,Raquette tennis,6,4025.28
2023-07-09,Électroménager,Robot cuiseur,3,749.91
2023-07-10,Sport,Vélo VTT,3,1635.63
2023-07-11,Sport,Maillot bain,3,1052.31
2023-07-11,Maison,Couette 220x240,5,1120.45
2023-07-12,Mode,Jean homme,2,544.54
2023-07-12,Mode,Jean homme,7,1905.89
2023-07-12,Maison,Rideau occultant,2,202.42
2023-07-12,Maison,Couette 220x240,4,896.36
2023-07-13,Sport,Haltères 10kg,5,466.92
2023-07-13,Maison,Couette 220x240,3,672.27
2023-07-14,Électroménager,Bouilloire,9,6534.36
2023-07-14,Maison,Set casseroles,5,3534.25
2023-07-16,Sport,Tapis yoga,3,1975.08
2023-07-17,Électroménager,Aspirateur,5,955.9
2023-07-17,Bricolage,Perceuse,7,739.62
2023-07-17,Sport,Tapis yoga,3,1975.08
2023-07-18,Mode,Jean homme,3,816.81
2023-07-18,Mode,Robe été,1,296.52
2023-07-19,Maison,Rideau occultant,2,202.42
2023-07-19,Électroménager,Aspirateur,7,1338.26
2023-07-19,Maison,Étagère bois,8,2236.72
2023-07-20,Sport,Raquette tennis,6,4237.14
2023-07-20,Maison,Rideau occultant,2,202.42
2023-07-20,Sport,Ballon foot,4,380.38
2023-07-22,Sport,Chaussures running,2,1025.15
2023-07-22,Bricolage,Peinture 5L,1,578.55
2023-07-23,Électroménager,Réfrigérateur,3,1162.11
2023-07-24,Sport,Vélo VTT,4,2180.84
2023-07-24,Sport,Vélo VTT,3,1635.63
2023-07-25,Bricolage,Tournevis set,4,2545.12
2023-07-25,Bricolage,Échelle alu,7,2358.56
2023-07-27,Bricolage,Tournevis set,5,3181.4
2023-07-27,Mode,T-shirt coton,4,1917.75
2023-07-27,Sport,Tapis yoga,5,3291.8
2023-07-28,Électroménager,Aspirateur,4,764.72
2023-07-28,Maison,Canapé 3 places,4,984.92
2023-07-29,Sport,Vélo VTT,1,545.21
2023-07-29,Électroménager,Robot cuiseur,5,1249.85
2023-07-29,Sport,Chaussures running,3,1708.59
2023-07-30,Sport,Haltères 10kg,2,186.77
2023-08-01,Maison,Lampe LED,2,268.44
2023-08-01,Sport,Tapis yoga,1,658.36
2023-08-02,Mode,Baskets ville,1,460.51
2023-08-03,Mode,Pull laine,5,4201.33
2023-08-03,Maison,Set casseroles,1,706.85
2023-08-04,Bricolage,Tournevis set,2,1145.3
2023-08-04,Bricolage,Boîte à outils,1,83.21
2023-08-05,Sport,Raquette tennis,1,706.19
2023-08-05,Bricolage,Peinture 5L,5,3045.0
2023-08-07,Maison,Canapé 3 places,2,443.21
2023-08-07,Mode,Jean homme,2,544.54
2023-08-07,Électroménager,Cafetière,1,372.63
2023-08-07,Maison,Canapé 3 places,1,246.23
2023-08-08,Électroménager,Cafetière,2,784.48
2023-08-09,Électroménager,Bouilloire,4,2758.95
2023-08-10,Électroménager,Cafetière,4,1568.96
2023-08-11,Sport,Maillot bain,2,701.54
2023-08-12,Mode,Baskets ville,2,921.02
2023-08-12,Bricolage,Boîte à outils,3,249.63
2023-08-13,Sport,Vélo VTT,4,2180.84
2023-08-13,Électroménager,Bouilloire,5,3630.2
2023-08-13,Bricolage,Perceuse,3,316.98
2023-08-14,Sport,Ballon foot,3,300.3
2023-08-15,Sport,Haltères 10kg,5,491.5
2023-08-16,Sport,Tapis yoga,2,1316.72
2023-08-16,Sport,Maillot bain,1,350.77
2023-08-18,Électroménager,Bouilloire,1,726.04
2023-08-18,Bricolage,Perceuse,4,422.64
2023-08-18,Mode,T-shirt coton,4,1917.75
2023-08-18,Bricolage,Échelle alu,1,354.67
2023-08-20,Sport,Tapis yoga,3,1975.08
2023-08-20,Sport,Ballon foot,2,200.2
2023-08-20,Sport,Haltères 10kg,2,157.28
2023-08-21,Sport,Vélo VTT,4,2180.84
2023-08-22,Maison,Rideau occultant,3,242.9
2023-08-23,Sport,Chaussures running,1,569.53
2023-08-23,Mode,Robe été,3,889.56
2023-08-24,Maison,Canapé 3 places,2,492.46
2023-08-24,Électroménager,Cafetière,2,706.03
2023-08-24,Électroménager,Cafetière,2,784.48
2023-08-24,Sport,Raquette tennis,3,2118.57
2023-08-25,Sport,Raquette tennis,6,4237.14
2023-08-26,Électroménager,Micro-ondes,2,906.32
2023-08-27,Sport,Ballon foot,2,200.2
2023-08-27,Maison,Couette 220x240,2,358.54
2023-08-28,Mode,Jean homme,2,544.54
2023-08-30,Sport,Chaussures running,1,569.53
2023-08-30,Mode,Jean homme,2,544.54
2023-08-31,Mode,Veste hiver,4,2623.96
2023-08-31,Électroménager,Robot cuiseur,1,249.97
2023-09-01,Bricolage,Peinture 5L,6,3654.0
2023-09-01,Électroménager,Micro-ondes,2,906.32
2023-09-01,Maison,Rideau occultant,2,202.42
2023-09-04,Électroménager,Robot cuiseur,2,499.94
2023-09-04,Électroménager,Aspirateur,3,573.54
2023-09-05,Mode,Veste hiver,2,1311.98
2023-09-05,Maison,Couette 220x240,1,224.09
2023-09-05,Mode,Baskets ville,5,2302.55
2023-09-05,Mode,Veste hiver,1,655.99
2023-09-05,Sport,Chaussures running,1,569.53
2023-09-05,Bricolage,Échelle alu,4,1418.68
2023-09-05,Mode,Jean homme,3,816.81
2023-09-06,Électroménager,Robot cuiseur,1,224.97
2023-09-08,Bricolage,Échelle alu,1,354.67
2023-09-08,Mode,Baskets ville,3,1381.53
2023-09-09,Mode,Jean homme,2,544.54
2023-09-09,Électroménager,Aspirateur,1,191.18
2023-09-09,Mode,Pull laine,1,884.49
2023-09-09,Sport,Raquette tennis,4,2824.76
2023-09-11,Sport,Maillot bain,1,350.77
2023-09-11,Maison,Couette 220x240,2,448.18
2023-09-11,Bricolage,Perceuse,2,169.06
2023-09-13,Électroménager,Bouilloire,2,1452.08
2023-09-14,Mode,Jean homme,6,1633.62
2023-09-15,Mode,Baskets ville,3,1381.53
2023-09-15,Maison,Rideau occultant,4,384.6
2023-09-15,Bricolage,Peinture 5L,2,1218.0
2023-09-17,Bricolage,Boîte à outils,2,166.42
2023-09-20,Mode,T-shirt coton,3,1514.01
2023-09-20,Maison,Rideau occultant,3,303.63
2023-09-23,Sport,Chaussures running,2,1139.06
2023-09-25,Électroménager,Cafetière,2,784.48
2023-09-26,Électroménager,Micro-ondes,4,1812.64
2023-09-26,Électroménager,Cafetière,1,353.02
2023-09-26,Maison,Lampe LED,1,134.22
2023-09-26,Bricolage,Boîte à outils,5,416.05
2023-09-26,Sport,Haltères 10kg,2,176.94
2023-09-28,Mode,Jean homme,5,1361.35
2023-09-28,Bricolage,Perceuse,3,316.98
2023-09-29,Mode,Veste hiver,2,1311.98
2023-09-30,Bricolage,Peinture 5L,2,1218.0
2023-10-01,Mode,Pull laine,4,3537.96
2023-10-01,Bricolage,Boîte à outils,4,332.84
2023-10-01,Bricolage,Peinture 5L,2,1218.0
2023-10-02,Maison,Étagère bois,5,1328.05
2023-10-04,Sport,Ballon foot,4,400.4
2023-10-05,Bricolage,Peinture 5L,3,1827.0
2023-10-05,Sport,Tapis yoga,2,1316.72
2023-10-06,Maison,Rideau occultant,4,404.84
2023-10-07,Maison,Rideau occultant,3,303.63
2023-10-08,Sport,Vélo VTT,1,545.21
2023-10-08,Mode,Baskets ville,3,1381.53
2023-10-08,Électroménager,Micro-ondes,4,1812.64
2023-10-10,Mode,Pull laine,5,3980.2
2023-10-10,Électroménager,Cafetière,2,784.48
2023-10-10,Sport,Raquette tennis,3,2118.57
2023-10-10,Mode,Robe été,5,1482.6
2023-10-11,Maison,Étagère bois,3,838.77
2023-10-11,Maison,Canapé 3 places,1,246.23
2023-10-11,Bricolage,Boîte à outils,1,83.21
2023-10-11,Sport,Haltères 10kg,3,294.9
2023-10-12,Sport,Tapis yoga,2,1316.72
2023-10-13,Sport,Tapis yoga,3,1975.08
2023-10-14,Maison,Set casseroles,3,2120.55
2023-10-14,Bricolage,Échelle alu,4,1418.68
2023-10-14,Maison,Couette 220x240,2,448.18
2023-10-14,Sport,Haltères 10kg,4,393.2
2023-10-15,Électroménager,Micro-ondes,2,906.32
2023-10-16,Électroménager,Robot cuiseur,1,224.97
2023-10-16,Mode,Veste hiver,2,1180.78
2023-10-16,Électroménager,Micro-ondes,4,1812.64
2023-10-16,Sport,Chaussures running,4,2278.12
2023-10-17,Mode,Veste hiver,3,1574.38
2023-10-17,Maison,Couette 220x240,2,425.77
2023-10-17,Mode,Pull laine,1,884.49
2023-10-17,Mode,Veste hiver,3,1967.97
2023-10-17,Mode,Baskets ville,3,1381.53
2023-10-18,Mode,Veste hiver,2,1311.98
2023-10-18,Bricolage,Perceuse,3,253.58
2023-10-18,Maison,Étagère bois,2,559.18
2023-10-19,Maison,Canapé 3 places,1,246.23
2023-10-20,Électroménager,Bouilloire,4,2904.16
2023-10-20,Électroménager,Robot cuiseur,5,1187.36
2023-10-21,Mode,Baskets ville,1,460.51
2023-10-22,Sport,Chaussures running,4,2278.12
2023-10-22,Sport,Raquette tennis,2,1412.38
2023-10-24,Maison,Rideau occultant,1,96.15
2023-10-24,Maison,Set casseroles,2,1413.7
2023-10-25,Maison,Couette 220x240,2,448.18
2023-10-25,Mode,Jean homme,2,544.54
2023-10-25,Électroménager,Cafetière,5,1961.2
2023-10-26,Mode,Robe été,1,296.52
2023-10-26,Maison,Rideau occultant,2,202.42
2023-10-27,Électroménager,Micro-ondes,5,2265.8
2023-10-27,Mode,Veste hiver,6,3935.94
2023-10-28,Maison,Étagère bois,3,838.77
2023-10-28,Mode,Robe été,3,889.56
2023-10-28,Électroménager,Robot cuiseur,5,1249.85
2023-10-29,Mode,Baskets ville,5,2302.55
2023-11-01,Électroménager,Cafetière,1,392.24
2023-11-01,Bricolage,Perceuse,1,105.66
2023-11-03,Électroménager,Bouilloire,3,2178.12
2023-11-03,Maison,Lampe LED,1,127.51
2023-11-04,Électroménager,Réfrigérateur,2,697.27
2023-11-04,Bricolage,Peinture 5L,1,609.0
2023-11-04,Maison,Couette 220x240,3,672.27
2023-11-05,Électroménager,Micro-ondes,3,1359.48
2023-11-06,Bricolage,Échelle alu,1,354.67
2023-11-06,Sport,Ballon foot,1,100.1
2023-11-06,Sport,Chaussures running,3,1708.59
2023-11-07,Sport,Vélo VTT,1,517.95
2023-11-07,Mode,T-shirt coton,3,1514.01
2023-11-07,Électroménager,Robot cuiseur,4,999.88
2023-11-07,Sport,Chaussures running,3,1708.59
2023-11-07,Bricolage,Échelle alu,3,1064.01
2023-11-08,Sport,Maillot bain,1,333.23
2023-11-09,Mode,Jean homme,3,775.97
2023-11-09,Mode,Pull laine,2,1592.08
2023-11-09,Maison,Lampe LED,1,134.22
2023-11-09,Maison,Étagère bois,4,1062.44
2023-11-10,Sport,Ballon foot,2,200.2
2023-11-10,Mode,Pull laine,3,2653.47
2023-11-10,Sport,Ballon foot,1,100.1
2023-11-10,Bricolage,Échelle alu,4,1418.68
2023-11-10,Électroménager,Réfrigérateur,3,1162.11
2023-11-10,Bricolage,Tournevis set,5,3181.4
2023-11-11,Mode,Pull laine,1,884.49
2023-11-12,Mode,Pull laine,3,2653.47
2023-11-12,Sport,Raquette tennis,4,2824.76
2023-11-13,Maison,Couette 220x240,1,224.09
2023-11-15,Électroménager,Bouilloire,3,2178.12
2023-11-15,Sport,Maillot bain,1,350.77
2023-11-16,Électroménager,Réfrigérateur,1,387.37
2023-11-16,Maison,Couette 220x240,2,448.18
2023-11-16,Mode,Jean homme,3,816.81
2023-11-16,Sport,Haltères 10kg,3,294.9
2023-11-16,Bricolage,Échelle alu,1,319.2
2023-11-16,Sport,Ballon foot,2,190.19
2023-11-17,Maison,Canapé 3 places,3,738.69
2023-11-17,Sport,Raquette tennis,1,706.19
2023-11-18,Sport,Vélo VTT,1,545.21
2023-11-20,Mode,Veste hiver,3,1967.97
2023-11-20,Électroménager,Robot cuiseur,2,499.94
2023-11-21,Mode,Robe été,3,711.65
2023-11-22,Sport,Ballon foot,2,200.2
2023-11-22,Sport,Maillot bain,2,701.54
2023-11-22,Maison,Rideau occultant,1,101.21
2023-11-23,Maison,Rideau occultant,3,303.63
2023-11-23,Mode,Robe été,1,296.52
2023-11-23,Bricolage,Perceuse,2,211.32
2023-11-23,Bricolage,Échelle alu,1,354.67
2023-11-24,Sport,Ballon foot,1,100.1
2023-11-25,Sport,Vélo VTT,3,1635.63
2023-11-25,Bricolage,Peinture 5L,4,2314.2
2023-11-26,Maison,Lampe LED,2,268.44
2023-11-26,Mode,Veste hiver,2,1246.38
2023-11-27,Sport,Chaussures running,3,1708.59
2023-11-27,Électroménager,Robot cuiseur,2,499.94
2023-11-29,Bricolage,Échelle alu,1,354.67
2023-12-01,Bricolage,Tournevis set,5,3181.4
2023-12-01,Électroménager,Bouilloire,4,2758.95
2023-12-03,Mode,Jean homme,5,1361.35
2023-12-04,Mode,Robe été,6,1690.16
2023-12-04,Bricolage,Tournevis set,7,4453.96
2023-12-05,Bricolage,Boîte à outils,5,416.05
2023-12-05,Sport,Chaussures running,3,1708.59
2023-12-07,Électroménager,Robot cuiseur,4,999.88
2023-12-09,Mode,Baskets ville,6,2763.06
2023-12-11,Électroménager,Réfrigérateur,3,1104.0
2023-12-11,Bricolage,Peinture 5L,10,6090.0
2023-12-11,Sport,Tapis yoga,2,1316.72
2023-12-12,Sport,Chaussures running,8,4556.24
2023-12-12,Sport,Ballon foot,5,500.5
2023-12-13,Maison,Couette 220x240,8,1792.72
2023-12-13,Électroménager,Robot cuiseur,9,2249.73
