date,ville,categorie,produit,quantite,montant
2023-01-09,Dunkerque,Maison,Rideau occultant,5,455.44
2023-01-09,Valenciennes,Sport,Haltères 10kg,3,294.9
2023-01-09,Roubaix,Bricolage,Tournevis set,4,2545.12
2023-01-09,Roubaix,Électroménager,Micro-ondes,7,3172.12
2023-01-10,Amiens,Maison,Lampe LED,4,536.88
2023-01-10,Dunkerque,Maison,Rideau occultant,2,192.3
2023-01-10,Lille,Bricolage,Boîte à outils,5,416.05
2023-01-10,En ligne,Maison,Lampe LED,4,536.88
2023-01-10,Amiens,Bricolage,Échelle alu,7,2234.42
2023-01-10,Roubaix,Électroménager,Bouilloire,1,726.04
2023-01-10,Dunkerque,Mode,Jean homme,1,272.27
2023-01-10,Lille,Électroménager,Aspirateur,8,1529.44
2023-01-10,Lille,Mode,T-shirt coton,6,3028.02
2023-01-10,Amiens,Électroménager,Bouilloire,7,4574.05
2023-01-10,Roubaix,Bricolage,Échelle alu,5,1773.35
2023-01-10,Dunkerque,Bricolage,Perceuse,5,528.3
2023-01-10,Lille,Mode,Pull laine,5,4422.45
2023-01-10,Roubaix,Sport,Tapis yoga,5,2962.62
2023-01-11,Roubaix,Maison,Étagère bois,1,279.59
2023-01-11,Dunkerque,Bricolage,Tournevis set,6,3626.8
2023-01-11,Lille,Sport,Maillot bain,6,2104.62
2023-01-11,Lille,Maison,Canapé 3 places,3,738.69
2023-01-11,Tourcoing,Électroménager,Micro-ondes,5,2265.8
2023-01-11,Amiens,Mode,Robe été,7,2075.64
2023-01-11,Lille,Mode,Baskets ville,1,460.51
2023-01-11,Lille,Électroménager,Bouilloire,4,2904.16
2023-01-11,Amiens,Sport,Maillot bain,4,1403.08
2023-01-11,Dunkerque,Mode,Veste hiver,2,1311.98
2023-01-11,Amiens,Maison,Étagère bois,5,1258.16
2023-01-11,En ligne,Maison,Lampe LED,1,134.22
2023-01-11,Tourcoing,Sport,Ballon foot,3,300.3
2023-01-11,Dunkerque,Mode,T-shirt coton,1,454.2
2023-01-11,Tourcoing,Sport,Chaussures running,1,569.53
2023-01-11,En ligne,Électroménager,Aspirateur,1,172.06
2023-01-11,En ligne,Bricolage,Tournevis set,6,3817.68
2023-01-11,En ligne,Mode,Veste hiver,3,1967.97
2023-01-11,Lille,Sport,Ballon foot,3,300.3
2023-01-12,Roubaix,Maison,Rideau occultant,5,506.05
2023-01-12,Lille,Mode,Baskets ville,8,3684.08
2023-01-12,En ligne,Électroménager,Robot cuiseur,5,1249.85
2023-01-12,Lille,Bricolage,Tournevis set,3,1813.4
2023-01-12,Lille,Sport,Chaussures running,1,455.62
2023-01-12,Roubaix,Mode,Baskets ville,5,2302.55
2023-01-12,Valenciennes,Mode,Jean homme,6,1633.62
2023-01-12,Lille,Mode,Jean homme,4,871.26
2023-01-12,Lille,Sport,Tapis yoga,3,1975.08
2023-01-12,Lille,Mode,Baskets ville,8,3684.08
2023-01-12,Amiens,Sport,Ballon foot,1,100.1
2023-01-12,Valenciennes,Maison,Rideau occultant,2,202.42
2023-01-12,Lille,Bricolage,Perceuse,4,338.11
2023-01-12,Roubaix,Sport,Raquette tennis,5,3530.95
2023-01-12,Lille,Mode,Jean homme,8,2178.16
2023-01-12,En ligne,Électroménager,Cafetière,7,2745.68
2023-01-12,Valenciennes,Maison,Rideau occultant,7,673.05
2023-01-12,Lille,Sport,Maillot bain,3,1052.31
2023-01-13,Amiens,Électroménager,Aspirateur,4,764.72
2023-01-13,Tourcoing,Maison,Set casseroles,2,1130.96
2023-01-13,Lille,Bricolage,Peinture 5L,3,1827.0
2023-01-13,Roubaix,Électroménager,Réfrigérateur,2,774.74
2023-01-13,Tourcoing,Sport,Chaussures running,1,569.53
2023-01-13,Amiens,Mode,Robe été,2,593.04
2023-01-13,Roubaix,Électroménager,Robot cuiseur,7,1749.79
2023-01-13,Dunkerque,Sport,Ballon foot,3,240.24
2023-01-13,Amiens,Maison,Rideau occultant,5,506.05
2023-01-13,Roubaix,Mode,Jean homme,2,490.09
2023-01-13,Dunkerque,Bricolage,Peinture 5L,2,1218.0
2023-01-13,En ligne,Électroménager,Réfrigérateur,5,1743.16
2023-01-13,Roubaix,Bricolage,Tournevis set,1,636.28
2023-01-13,Lille,Maison,Canapé 3 places,4,984.92
2023-01-13,Valenciennes,Bricolage,Tournevis set,2,1272.56
2023-01-13,Tourcoing,Électroménager,Bouilloire,3,1960.31
2023-01-13,Lille,Bricolage,Peinture 5L,4,2436.0
2023-01-13,Lille,Sport,Chaussures running,2,1139.06
2023-01-14,Dunkerque,Maison,Set casseroles,4,2827.4
2023-01-14,En ligne,Mode,Baskets ville,6,2763.06
2023-01-14,Lille,Bricolage,Boîte à outils,1,83.21
2023-01-14,Dunkerque,Maison,Étagère bois,1,279.59
2023-01-14,Tourcoing,Mode,T-shirt coton,6,3028.02
2023-01-14,Dunkerque,Électroménager,Cafetière,3,1176.72
2023-01-14,Dunkerque,Bricolage,Boîte à outils,6,499.26
2023-01-14,Lille,Électroménager,Réfrigérateur,3,1045.9
2023-01-14,Roubaix,Sport,Vélo VTT,8,4361.68
2023-01-14,En ligne,Maison,Lampe LED,2,268.44
2023-01-14,Tourcoing,Maison,Rideau occultant,6,607.26
2023-01-14,Dunkerque,Bricolage,Perceuse,4,422.64
2023-01-14,Roubaix,Maison,Rideau occultant,7,708.47
2023-01-14,Roubaix,Mode,Pull laine,7,6191.43
2023-01-14,Tourcoing,Mode,Veste hiver,5,3279.95
2023-01-15,Dunkerque,Mode,T-shirt coton,5,2397.18
2023-01-15,Lille,Sport,Haltères 10kg,7,653.69
2023-01-15,En ligne,Mode,Pull laine,5,4422.45
2023-01-15,Lille,Maison,Couette 220x240,8,1792.72
2023-01-15,En ligne,Sport,Maillot bain,1,350.77
2023-01-15,Roubaix,Sport,Chaussures running,1,569.53
2023-01-15,Dunkerque,Maison,Étagère bois,1,279.59
2023-01-15,Roubaix,Maison,Étagère bois,1,251.63
2023-01-15,Tourcoing,Bricolage,Tournevis set,4,2545.12
2023-01-15,En ligne,Sport,Maillot bain,1,350.77
2023-01-15,Dunkerque,Sport,Vélo VTT,8,4361.68
2023-01-15,En ligne,Bricolage,Peinture 5L,5,3045.0
2023-01-15,En ligne,Sport,Raquette tennis,6,4237.14
2023-01-15,Lille,Mode,Robe été,2,563.39
2023-01-15,En ligne,Sport,Haltères 10kg,1,98.3
2023-01-15,Tourcoing,Maison,Set casseroles,1,706.85
2023-01-15,En ligne,Sport,Chaussures running,5,2562.88
2023-01-16,Lille,Maison,Étagère bois,3,838.77
2023-01-16,En ligne,Bricolage,Boîte à outils,5,416.05
2023-01-16,Lille,Bricolage,Tournevis set,2,1272.56
2023-01-16,Lille,Sport,Haltères 10kg,2,186.77
2023-01-16,Amiens,Sport,Haltères 10kg,6,589.8
2023-01-16,Valenciennes,Sport,Maillot bain,1,350.77
2023-01-16,Amiens,Bricolage,Tournevis set,7,4453.96
2023-01-16,Tourcoing,Mode,Pull laine,3,2653.47
2023-01-16,Tourcoing,Sport,Chaussures running,2,1139.06
2023-01-16,Dunkerque,Sport,Chaussures running,3,1708.59
2023-01-16,Dunkerque,Maison,Rideau occultant,7,673.05
2023-01-16,Dunkerque,Maison,Couette 220x240,5,1120.45
2023-01-16,Tourcoing,Sport,Haltères 10kg,6,589.8
2023-01-16,Valenciennes,Sport,Haltères 10kg,3,294.9
2023-01-16,Valenciennes,Sport,Chaussures running,2,1139.06
2023-01-16,Lille,Bricolage,Perceuse,8,845.28
2023-01-16,Valenciennes,Bricolage,Boîte à outils,3,249.63
2023-01-16,Roubaix,Bricolage,Tournevis set,8,5090.24
2023-01-16,Roubaix,Mode,Pull laine,6,5306.94
2023-01-16,Dunkerque,Sport,Maillot bain,3,1052.31
2023-01-16,Lille,Sport,Ballon foot,1,100.1
2023-01-17,Dunkerque,Électroménager,Cafetière,4,1568.96
2023-01-17,Dunkerque,Sport,Haltères 10kg,6,560.31
2023-01-17,Amiens,Sport,Chaussures running,7,3986.71
2023-01-17,Valenciennes,Mode,T-shirt coton,1,504.67
2023-01-17,Lille,Électroménager,Réfrigérateur,2,774.74
2023-01-17,Amiens,Maison,Couette 220x240,7,1254.9
2023-01-17,Lille,Bricolage,Tournevis set,3,1908.84
2023-01-17,Valenciennes,Sport,Vélo VTT,3,1635.63
2023-01-17,En ligne,Bricolage,Échelle alu,5,1773.35
2023-01-17,En ligne,Électroménager,Cafetière,5,1961.2
2023-01-17,Lille,Bricolage,Peinture 5L,3,1827.0
2023-01-18,Lille,Mode,Pull laine,8,7075.92
2023-01-18,Dunkerque,Mode,Baskets ville,1,460.51
2023-01-18,Lille,Maison,Couette 220x240,5,1008.41
2023-01-18,En ligne,Maison,Rideau occultant,5,506.05
2023-01-18,Lille,Électroménager,Réfrigérateur,3,1104.0
2023-01-18,Lille,Sport,Chaussures running,6,3417.18
2023-01-18,Valenciennes,Maison,Set casseroles,3,2120.55
2023-01-18,Dunkerque,Maison,Couette 220x240,5,1120.45
2023-01-18,En ligne,Sport,Raquette tennis,8,5649.52
2023-01-18,Roubaix,Maison,Étagère bois,3,838.77
2023-01-18,Lille,Sport,Raquette tennis,2,1412.38
2023-01-18,Tourcoing,Sport,Tapis yoga,6,3950.16
2023-01-18,Roubaix,Électroménager,Micro-ondes,6,2718.96
2023-01-18,Dunkerque,Mode,Veste hiver,4,2623.96
2023-01-18,Amiens,Sport,Raquette tennis,3,2118.57
2023-01-18,Amiens,Bricolage,Peinture 5L,6,3471.3
2023-01-18,Tourcoing,Mode,Baskets ville,1,414.46
2023-01-18,En ligne,Sport,Chaussures running,1,569.53
2023-01-18,Lille,Sport,Raquette tennis,5,3530.95
2023-01-18,Roubaix,Électroménager,Cafetière,3,1176.72
2023-01-19,Roubaix,Sport,Raquette tennis,4,2683.52
2023-01-19,Roubaix,Sport,Haltères 10kg,5,491.5
2023-01-19,Dunkerque,Sport,Haltères 10kg,2,196.6
2023-01-19,Dunkerque,Bricolage,Échelle alu,5,1773.35
2023-01-19,Valenciennes,Bricolage,Peinture 5L,4,2436.0
2023-01-19,Roubaix,Mode,Veste hiver,3,1574.38
2023-01-19,Lille,Mode,Jean homme,6,1633.62
2023-01-19,Dunkerque,Sport,Haltères 10kg,3,294.9
2023-01-19,Roubaix,Bricolage,Peinture 5L,5,3045.0
2023-01-19,Roubaix,Mode,Veste hiver,3,1967.97
2023-01-19,En ligne,Maison,Lampe LED,6,805.32
2023-01-19,Lille,Maison,Set casseroles,3,2120.55
2023-01-19,Roubaix,Électroménager,Cafetière,3,1176.72
2023-01-19,En ligne,Maison,Rideau occultant,6,607.26
2023-01-19,Amiens,Mode,Jean homme,8,2178.16
2023-01-19,Lille,Maison,Étagère bois,6,1677.54
2023-01-19,Amiens,Bricolage,Peinture 5L,1,578.55
2023-01-19,Lille,Sport,Ballon foot,1,100.1
2023-01-19,En ligne,Mode,Baskets ville,3,1381.53
2023-01-19,Valenciennes,Sport,Maillot bain,2,701.54
2023-01-19,Roubaix,Bricolage,Échelle alu,2,638.41
2023-01-20,Amiens,Maison,Canapé 3 places,5,1231.15
2023-01-20,Roubaix,Électroménager,Aspirateur,2,382.36
2023-01-20,Dunkerque,Électroménager,Robot cuiseur,5,1249.85
2023-01-20,Amiens,Mode,Pull laine,5,4422.45
2023-01-20,Roubaix,Bricolage,Perceuse,1,105.66
2023-01-20,Dunkerque,Électroménager,Aspirateur,4,611.78
2023-01-20,Tourcoing,Maison,Lampe LED,1,134.22
2023-01-20,En ligne,Maison,Étagère bois,4,1118.36
2023-01-20,Tourcoing,Mode,Baskets ville,4,1842.04
2023-01-20,Amiens,Mode,Robe été,1,296.52
2023-01-20,Amiens,Sport,Tapis yoga,3,1975.08
2023-01-20,Roubaix,Sport,Tapis yoga,7,4608.52
2023-01-20,Dunkerque,Bricolage,Peinture 5L,4,2436.0
2023-01-20,Roubaix,Sport,Ballon foot,2,190.19
2023-01-20,Tourcoing,Mode,Veste hiver,6,3935.94
2023-01-20,Amiens,Mode,Pull laine,2,1768.98
2023-01-20,Roubaix,Maison,Lampe LED,7,939.54
2023-01-20,Dunkerque,Sport,Chaussures running,4,2164.21
2023-01-20,Roubaix,Sport,Vélo VTT,3,1635.63
2023-01-20,Roubaix,Sport,Vélo VTT,1,436.17
2023-01-20,Lille,Sport,Ballon foot,5,500.5
2023-01-21,Lille,Maison,Étagère bois,6,1677.54
2023-01-21,Dunkerque,Maison,Set casseroles,4,2827.4
2023-01-21,Lille,Bricolage,Échelle alu,2,709.34
2023-01-21,Dunkerque,Sport,Haltères 10kg,5,491.5
2023-01-21,Lille,Bricolage,Boîte à outils,6,499.26
2023-01-21,En ligne,Mode,Baskets ville,3,1381.53
2023-01-21,En ligne,Bricolage,Peinture 5L,2,1157.1
2023-01-21,Dunkerque,Sport,Chaussures running,3,1708.59
2023-01-21,Lille,Sport,Vélo VTT,6,3271.26
2023-01-21,Dunkerque,Électroménager,Réfrigérateur,3,1162.11
2023-01-21,En ligne,Électroménager,Aspirateur,7,1338.26
2023-01-21,Amiens,Maison,Canapé 3 places,8,1969.84
2023-01-21,Amiens,Bricolage,Peinture 5L,5,3045.0
2023-01-21,Lille,Bricolage,Perceuse,3,316.98
2023-01-22,Amiens,Sport,Maillot bain,7,2455.39
2023-01-22,Amiens,Sport,Maillot bain,5,1753.85
2023-01-22,Tourcoing,Électroménager,Micro-ondes,7,3172.12
2023-01-22,Dunkerque,Mode,Veste hiver,4,2623.96
2023-01-22,Lille,Maison,Lampe LED,4,510.04
2023-01-22,Tourcoing,Maison,Rideau occultant,3,273.27
2023-01-22,Tourcoing,Maison,Rideau occultant,3,303.63
2023-01-22,Tourcoing,Maison,Canapé 3 places,5,1169.59
2023-01-22,Lille,Mode,Pull laine,6,4245.55
2023-01-22,Dunkerque,Bricolage,Boîte à outils,5,395.25
2023-01-22,Roubaix,Sport,Vélo VTT,2,1090.42
2023-01-22,Lille,Maison,Canapé 3 places,4,984.92
2023-01-22,Lille,Maison,Étagère bois,3,838.77
2023-01-22,Lille,Bricolage,Boîte à outils,6,499.26
2023-01-22,Roubaix,Bricolage,Échelle alu,7,2482.69
2023-01-22,Amiens,Bricolage,Perceuse,1,105.66
2023-01-23,Valenciennes,Mode,Veste hiver,3,1967.97
2023-01-23,Lille,Mode,Veste hiver,4,2623.96
2023-01-23,En ligne,Sport,Haltères 10kg,5,491.5
2023-01-23,Roubaix,Électroménager,Robot cuiseur,3,749.91
2023-01-23,Lille,Électroménager,Micro-ondes,4,1812.64
2023-01-23,Lille,Électroménager,Robot cuiseur,1,249.97
2023-01-23,Roubaix,Bricolage,Tournevis set,4,2545.12
2023-01-23,Roubaix,Maison,Canapé 3 places,3,590.95
2023-01-23,Dunkerque,Mode,Robe été,5,1482.6
2023-01-23,Dunkerque,Bricolage,Boîte à outils,1,83.21
2023-01-23,Roubaix,Bricolage,Boîte à outils,4,316.2
2023-01-23,Valenciennes,Maison,Rideau occultant,2,202.42
2023-01-23,Amiens,Sport,Tapis yoga,7,4608.52
2023-01-23,Roubaix,Sport,Vélo VTT,5,2726.05
2023-01-23,Lille,Sport,Tapis yoga,4,2633.44
2023-01-23,En ligne,Bricolage,Échelle alu,2,673.87
2023-01-23,Roubaix,Maison,Rideau occultant,3,303.63
2023-01-23,En ligne,Sport,Vélo VTT,3,1635.63
2023-01-23,Dunkerque,Maison,Étagère bois,1,279.59
2023-01-23,Roubaix,Mode,Veste hiver,4,2361.56
2023-01-23,Lille,Mode,Baskets ville,3,1381.53
2023-01-23,Tourcoing,Bricolage,Tournevis set,1,636.28
2023-01-24,En ligne,Mode,T-shirt coton,4,2018.68
2023-01-24,En ligne,Électroménager,Réfrigérateur,2,736.0
2023-01-24,Lille,Mode,T-shirt coton,2,1009.34
2023-01-24,Valenciennes,Sport,Raquette tennis,3,2118.57
2023-01-24,Tourcoing,Sport,Vélo VTT,1,490.69
2023-01-24,Valenciennes,Électroménager,Robot cuiseur,8,1999.76
2023-01-24,Amiens,Électroménager,Micro-ondes,5,2265.8
2023-01-24,Dunkerque,Électroménager,Bouilloire,6,4356.24
2023-01-24,En ligne,Électroménager,Robot cuiseur,1,199.98
2023-01-24,Tourcoing,Électroménager,Robot cuiseur,2,499.94
2023-01-24,En ligne,Électroménager,Aspirateur,8,1529.44
2023-01-24,Lille,Électroménager,Robot cuiseur,5,1249.85
2023-01-25,Lille,Mode,T-shirt coton,9,4542.03
2023-01-25,Amiens,Maison,Set casseroles,7,4700.55
2023-01-25,Roubaix,Bricolage,Perceuse,2,211.32
2023-01-25,Tourcoing,Électroménager,Bouilloire,5,3630.2
2023-01-25,Valenciennes,Sport,Ballon foot,1,100.1
2023-01-25,Roubaix,Maison,Canapé 3 places,6,1403.51
2023-01-25,Amiens,Bricolage,Boîte à outils,3,224.67
2023-01-25,Lille,Bricolage,Tournevis set,1,636.28
2023-01-25,Tourcoing,Sport,Vélo VTT,6,3107.7
2023-01-25,Dunkerque,Bricolage,Boîte à outils,3,249.63
2023-01-25,Dunkerque,Mode,Veste hiver,4,2623.96
2023-01-25,Dunkerque,Mode,T-shirt coton,2,1009.34
2023-01-25,Valenciennes,Électroménager,Aspirateur,2,382.36
2023-01-25,Dunkerque,Maison,Couette 220x240,8,1703.08
2023-01-26,Amiens,Électroménager,Micro-ondes,3,1359.48
2023-01-26,Valenciennes,Mode,Robe été,4,1126.78
2023-01-26,Dunkerque,Maison,Canapé 3 places,4,984.92
2023-01-26,Lille,Bricolage,Boîte à outils,4,332.84
2023-01-26,Tourcoing,Sport,Vélo VTT,7,3816.47
2023-01-26,Lille,Bricolage,Tournevis set,7,4453.96
2023-01-26,En ligne,Électroménager,Cafetière,1,372.63
2023-01-26,Dunkerque,Mode,Pull laine,3,2653.47
2023-01-26,Dunkerque,Maison,Lampe LED,1,134.22
2023-01-26,Dunkerque,Maison,Canapé 3 places,5,1231.15
2023-01-26,En ligne,Sport,Chaussures running,5,2278.12
2023-01-26,Roubaix,Bricolage,Tournevis set,5,3181.4
2023-01-26,Lille,Électroménager,Aspirateur,2,344.12
2023-01-26,Dunkerque,Bricolage,Perceuse,7,702.64
2023-01-26,Lille,Mode,Jean homme,2,544.54
2023-01-26,Lille,Bricolage,Boîte à outils,7,524.22
2023-01-26,Amiens,Électroménager,Bouilloire,4,2904.16
2023-01-26,Tourcoing,Maison,Canapé 3 places,5,1231.15
2023-01-27,En ligne,Sport,Vélo VTT,4,2180.84
2023-01-27,Lille,Bricolage,Perceuse,4,380.38
2023-01-27,Lille,Bricolage,Boîte à outils,3,249.63
2023-01-27,En ligne,Sport,Maillot bain,4,1403.08
2023-01-27,Roubaix,Sport,Chaussures running,2,1139.06
2023-01-27,Tourcoing,Électroménager,Bouilloire,5,3630.2
2023-01-27,Roubaix,Sport,Vélo VTT,2,981.38
2023-01-27,Roubaix,Maison,Couette 220x240,1,224.09
2023-01-27,Lille,Sport,Chaussures running,6,3417.18
2023-01-27,Tourcoing,Mode,Pull laine,4,3537.96
2023-01-27,Amiens,Sport,Ballon foot,2,200.2
2023-01-27,Dunkerque,Maison,Set casseroles,5,3534.25
2023-01-27,En ligne,Sport,Vélo VTT,3,1308.5
2023-01-27,Tourcoing,Maison,Étagère bois,1,279.59
2023-01-27,En ligne,Mode,Veste hiver,5,3279.95
2023-01-27,Lille,Maison,Étagère bois,1,279.59
