vente_id,date_id,magasin_id,produit_id,client_id,quantite,prix_unitaire,remise,montant,marge
62,20230104,5,22,157,2,453.16,0.0,906.32,343.12
63,20230104,1,13,56,4,460.51,0.0,1842.04,592.2
64,20230104,5,22,307,4,453.16,0.0,1812.64,686.24
65,20230105,7,26,575,6,105.66,0.0,633.96,130.2
66,20230105,1,25,593,2,387.37,0.0,774.74,225.56
67,20230105,1,10,383,5,655.99,0.0,3279.95,1620.4
68,20230105,5,25,237,2,387.37,0.0,774.74,225.56
69,20230105,2,4,232,2,658.36,0.0,1316.72,705.42
70,20230105,1,17,589,5,224.09,0.05,1064.43,395.93
71,20230105,7,25,377,3,387.37,0.0,1162.11,338.34
72,20230105,1,1,561,4,545.21,0.0,2180.84,938.0
73,20230105,4,17,547,4,224.09,0.0,896.36,361.56
74,20230105,3,16,559,6,706.85,0.0,4241.1,2446.02
75,20230105,2,4,483,1,658.36,0.0,658.36,352.71
76,20230105,1,1,487,6,545.21,0.0,3271.26,1407.0
77,20230105,7,9,76,2,296.52,0.0,593.04,144.92
78,20230105,2,19,56,3,101.21,0.0,303.63,134.67
79,20230105,2,5,276,5,98.3,0.1,442.35,164.35
80,20230105,1,11,515,6,504.67,0.0,3028.02,1201.38
81,20230105,5,30,43,3,83.21,0.1,224.67,44.01
82,20230105,1,16,160,5,706.85,0.0,3534.25,2038.35
83,20230106,4,26,61,4,105.66,0.0,422.64,86.8
84,20230106,3,12,218,1,884.49,0.0,884.49,496.06
85,20230106,3,9,246,2,296.52,0.05,563.39,115.27
86,20230106,2,16,318,6,706.85,0.0,4241.1,2446.02
87,20230106,1,23,62,3,726.04,0.0,2178.12,1176.9
88,20230106,4,12,480,3,884.49,0.0,2653.47,1488.18
89,20230106,3,21,293,8,392.24,0.0,3137.92,1716.48
90,20230106,4,12,427,5,884.49,0.0,4422.45,2480.3
91,20230106,3,13,4,2,460.51,0.05,874.97,250.05
92,20230106,1,17,227,6,224.09,0.1,1210.09,407.89
93,20230106,5,2,368,2,706.19,0.1,1271.14,582.84
94,20230106,6,23,344,7,726.04,0.0,5082.28,2746.1
95,20230106,7,26,179,8,105.66,0.0,845.28,173.6
96,20230106,1,19,288,5,101.21,0.0,506.05,224.45
97,20230106,2,13,147,6,460.51,0.1,2486.75,611.99
98,20230107,4,21,524,1,392.24,0.0,392.24,214.56
99,20230107,4,10,554,1,655.99,0.0,655.99,324.08
100,20230107,6,21,437,1,392.24,0.0,392.24,214.56
101,20230107,1,18,79,5,279.59,0.0,1397.95,445.6
102,20230107,1,30,385,5,83.21,0.0,416.05,114.95
103,20230107,1,17,36,3,224.09,0.0,672.27,271.17
104,20230107,1,10,553,1,655.99,0.0,655.99,324.08
105,20230107,1,4,538,5,658.36,0.05,3127.21,1598.96
106,20230107,3,7,15,3,569.53,0.0,1708.59,930.6
107,20230107,7,9,412,7,296.52,0.0,2075.64,507.22
108,20230107,2,16,480,5,706.85,0.0,3534.25,2038.35
109,20230107,7,9,450,4,296.52,0.0,1186.08,289.84
110,20230108,6,26,16,8,105.66,0.0,845.28,173.6
111,20230108,2,30,265,5,83.21,0.0,416.05,114.95
112,20230108,4,22,316,3,453.16,0.0,1359.48,514.68
113,20230108,6,16,139,3,706.85,0.0,2120.55,1223.01
114,20230108,3,6,286,3,350.77,0.0,1052.31,597.9
115,20230108,1,27,507,3,636.28,0.0,1908.84,961.32
116,20230108,1,23,186,4,726.04,0.0,2904.16,1569.2
117,20230108,1,25,256,4,387.37,0.0,1549.48,451.12
118,20230108,6,4,509,6,658.36,0.0,3950.16,2116.26
119,20230108,2,12,400,5,884.49,0.0,4422.45,2480.3
120,20230108,2,22,71,2,453.16,0.05,861.0,297.8
121,20230108,3,25,209,1,387.37,0.0,387.37,112.78
122,20230108,6,28,280,5,609.0,0.0,3045.0,1627.3
123,20230108,1,25,351,8,387.37,0.0,3098.96,902.24
124,20230108,5,29,327,3,354.67,0.0,1064.01,505.2
125,20230109,2,22,521,7,453.16,0.0,3172.12,1200.92
126,20230109,2,27,344,4,636.28,0.0,2545.12,1281.76
127,20230109,5,5,224,3,98.3,0.0,294.9,128.1
128,20230109,2,20,356,3,191.18,0.05,544.86,260.97
129,20230109,2,24,9,1,249.97,0.0,249.97,91.92
130,20230109,6,22,564,8,453.16,0.1,3262.75,1009.95
131,20230109,4,19,287,5,101.21,0.1,455.44,173.84
132,20230109,4,24,69,5,249.97,0.0,1249.85,459.6
133,20230109,4,6,410,5,350.77,0.0,1753.85,996.5
134,20230109,5,28,277,2,609.0,0.0,1218.0,650.92
135,20230109,5,29,436,4,354.67,0.0,1418.68,673.6
136,20230109,1,17,552,2,224.09,0.0,448.18,180.78
137,20230109,6,16,533,4,706.85,0.0,2827.4,1630.68
138,20230109,4,16,241,5,706.85,0.0,3534.25,2038.35
139,20230110,1,12,349,5,884.49,0.0,4422.45,2480.3
140,20230110,4,26,554,5,105.66,0.0,528.3,108.5
141,20230110,2,29,545,5,354.67,0.0,1773.35,842.0
142,20230110,6,23,501,7,726.04,0.1,4574.05,2237.87
143,20230110,1,11,88,6,504.67,0.0,3028.02,1201.38
144,20230110,1,20,573,8,191.18,0.0,1529.44,772.4
145,20230110,2,4,352,5,658.36,0.1,2962.62,1434.37
146,20230110,4,8,90,1,272.27,0.0,272.27,92.12
147,20230110,2,23,91,1,726.04,0.0,726.04,392.3
148,20230110,6,29,133,7,354.67,0.1,2234.42,930.53
149,20230110,7,15,506,4,134.22,0.0,536.88,273.12
150,20230110,1,30,421,5,83.21,0.0,416.05,114.95
151,20230110,4,19,384,2,101.21,0.05,192.3,79.66
152,20230110,6,15,76,4,134.22,0.0,536.88,273.12
153,20230111,7,10,441,3,655.99,0.0,1967.97,972.24
154,20230111,7,27,209,6,636.28,0.0,3817.68,1922.64
155,20230111,4,10,254,2,655.99,0.0,1311.98,648.16
156,20230111,7,20,503,1,191.18,0.1,172.06,77.43
157,20230111,3,7,521,1,569.53,0.0,569.53,310.2
158,20230111,4,11,222,1,504.67,0.1,454.2,149.76
159,20230111,3,3,523,3,100.1,0.0,300.3,173.7
160,20230111,7,15,154,1,134.22,0.0,134.22,68.28
161,20230111,6,18,166,5,279.59,0.1,1258.16,305.8
162,20230111,1,3,90,3,100.1,0.0,300.3,173.7
163,20230111,6,6,192,4,350.77,0.0,1403.08,797.2
164,20230111,2,18,246,1,279.59,0.0,279.59,89.12
165,20230111,1,23,372,4,726.04,0.0,2904.16,1569.2
166,20230111,1,13,119,1,460.51,0.0,460.51,148.05
167,20230111,6,9,112,7,296.52,0.0,2075.64,507.22
168,20230111,3,22,154,5,453.16,0.0,2265.8,857.8
169,20230111,1,6,30,6,350.77,0.0,2104.62,1195.8
170,20230111,4,27,433,6,636.28,0.05,3626.8,1731.76
171,20230111,1,14,383,3,246.23,0.0,738.69,170.64
172,20230112,2,2,151,5,706.19,0.0,3530.95,1810.2
173,20230112,6,3,342,1,100.1,0.0,100.1,57.9
174,20230112,1,26,89,4,105.66,0.2,338.11,2.27
175,20230112,1,6,342,3,350.77,0.0,1052.31,597.9
176,20230112,1,8,588,8,272.27,0.0,2178.16,736.96
177,20230112,7,21,283,7,392.24,0.0,2745.68,1501.92
178,20230112,5,19,347,7,101.21,0.05,673.05,278.81
179,20230112,1,13,325,8,460.51,0.0,3684.08,1184.4
180,20230112,5,19,216,2,101.21,0.0,202.42,89.78
181,20230112,1,8,142,4,272.27,0.2,871.26,150.66
182,20230112,1,27,245,3,636.28,0.05,1813.4,865.88
183,20230112,2,19,540,5,101.21,0.0,506.05,224.45
184,20230112,1,13,407,8,460.51,0.0,3684.08,1184.4
185,20230112,7,24,105,5,249.97,0.0,1249.85,459.6
186,20230112,5,8,85,6,272.27,0.0,1633.62,552.72
187,20230112,1,4,251,3,658.36,0.0,1975.08,1058.13
188,20230112,1,7,201,1,569.53,0.2,455.62,196.29
189,20230112,2,13,236,5,460.51,0.0,2302.55,740.25
190,20230113,1,28,121,4,609.0,0.0,2436.0,1301.84
191,20230113,3,23,54,3,726.04,0.1,1960.31,959.09
192,20230113,5,27,505,2,636.28,0.0,1272.56,640.88
193,20230113,1,14,403,4,246.23,0.0,984.92,227.52
194,20230113,2,27,142,1,636.28,0.0,636.28,320.44
195,20230113,7,25,485,5,387.37,0.1,1743.16,370.22
196,20230113,4,28,145,2,609.0,0.0,1218.0,650.92
197,20230113,2,8,188,2,272.27,0.1,490.09,129.79
198,20230113,1,7,410,2,569.53,0.0,1139.06,620.4
199,20230113,4,3,198,3,100.1,0.2,240.24,113.64
200,20230113,6,20,8,4,191.18,0.0,764.72,386.2
201,20230113,2,24,466,7,249.97,0.0,1749.79,643.44
202,20230113,6,9,313,2,296.52,0.0,593.04,144.92
203,20230113,3,7,266,1,569.53,0.0,569.53,310.2
204,20230113,2,25,153,2,387.37,0.0,774.74,225.56
205,20230113,6,19,152,5,101.21,0.0,506.05,224.45
206,20230113,1,28,240,3,609.0,0.0,1827.0,976.38
207,20230113,3,16,441,2,706.85,0.2,1130.96,532.6
208,20230114,2,12,516,7,884.49,0.0,6191.43,3472.42
209,20230114,2,19,231,7,101.21,0.0,708.47,314.23
210,20230114,4,26,576,4,105.66,0.0,422.64,86.8
211,20230114,3,19,462,6,101.21,0.0,607.26,269.34
212,20230114,7,15,313,2,134.22,0.0,268.44,136.56
213,20230114,2,1,258,8,545.21,0.0,4361.68,1876.0
214,20230114,1,25,452,3,387.37,0.1,1045.9,222.13
215,20230114,3,10,253,5,655.99,0.0,3279.95,1620.4
216,20230114,4,30,289,6,83.21,0.0,499.26,137.94
217,20230114,4,21,408,3,392.24,0.0,1176.72,643.68
218,20230114,3,11,83,6,504.67,0.0,3028.02,1201.38
219,20230114,4,18,406,1,279.59,0.0,279.59,89.12
220,20230114,1,30,127,1,83.21,0.0,83.21,22.99
221,20230114,7,13,294,6,460.51,0.0,2763.06,888.3
222,20230114,4,16,325,4,706.85,0.0,2827.4,1630.68
223,20230115,7,7,498,5,569.53,0.1,2562.88,1266.24
224,20230115,3,16,462,1,706.85,0.0,706.85,407.67
225,20230115,7,5,91,1,98.3,0.0,98.3,42.7
226,20230115,1,9,362,2,296.52,0.05,563.39,115.27
227,20230115,7,2,334,6,706.19,0.0,4237.14,2172.24
228,20230115,7,28,274,5,609.0,0.0,3045.0,1627.3
229,20230115,4,1,312,8,545.21,0.0,4361.68,1876.0
230,20230115,7,6,253,1,350.77,0.0,350.77,199.3
231,20230115,3,27,277,4,636.28,0.0,2545.12,1281.76
232,20230115,2,18,356,1,279.59,0.1,251.63,61.16
233,20230115,4,11,107,5,504.67,0.05,2397.18,874.98
234,20230115,4,18,382,1,279.59,0.0,279.59,89.12
235,20230115,2,7,331,1,569.53,0.0,569.53,310.2
236,20230115,7,6,498,1,350.77,0.0,350.77,199.3
237,20230115,1,17,240,8,224.09,0.0,1792.72,723.12
238,20230115,7,12,387,5,884.49,0.0,4422.45,2480.3
239,20230115,1,5,206,7,98.3,0.05,653.69,264.49
240,20230116,4,6,27,3,350.77,0.0,1052.31,597.9
241,20230116,2,12,288,6,884.49,0.0,5306.94,2976.36
242,20230116,2,27,265,8,636.28,0.0,5090.24,2563.52
243,20230116,5,30,563,3,83.21,0.0,249.63,68.97
244,20230116,1,26,116,8,105.66,0.0,845.28,173.6
245,20230116,5,7,320,2,569.53,0.0,1139.06,620.4
246,20230116,5,5,529,3,98.3,0.0,294.9,128.1
247,20230116,3,5,296,6,98.3,0.0,589.8,256.2
248,20230116,4,17,546,5,224.09,0.0,1120.45,451.95
249,20230116,1,3,217,1,100.1,0.0,100.1,57.9
250,20230116,4,7,354,3,569.53,0.0,1708.59,930.6
251,20230116,3,12,109,3,884.49,0.0,2653.47,1488.18
252,20230116,1,18,232,3,279.59,0.0,838.77,267.36
253,20230116,7,30,565,5,83.21,0.0,416.05,114.95
254,20230116,1,27,569,2,636.28,0.0,1272.56,640.88
255,20230116,1,5,484,2,98.3,0.05,186.77,75.57
256,20230116,4,19,171,7,101.21,0.05,673.05,278.81
257,20230116,3,7,244,2,569.53,0.0,1139.06,620.4
258,20230116,5,6,34,1,350.77,0.0,350.77,199.3
259,20230116,6,27,574,7,636.28,0.0,4453.96,2243.08
260,20230116,6,5,373,6,98.3,0.0,589.8,256.2
261,20230117,7,21,414,5,392.24,0.0,1961.2,1072.8
262,20230117,7,29,268,5,354.67,0.0,1773.35,842.0
263,20230117,5,1,136,3,545.21,0.0,1635.63,703.5
264,20230117,1,27,42,3,636.28,0.0,1908.84,961.32
265,20230117,1,28,557,3,609.0,0.0,1827.0,976.38
266,20230117,6,17,403,7,224.09,0.2,1254.9,319.0
267,20230117,1,25,413,2,387.37,0.0,774.74,225.56
268,20230117,5,11,178,1,504.67,0.0,504.67,200.23
269,20230117,6,7,527,7,569.53,0.0,3986.71,2171.4
270,20230117,4,5,14,6,98.3,0.05,560.31,226.71
271,20230117,4,21,373,4,392.24,0.0,1568.96,858.24
272,20230118,1,2,73,5,706.19,0.0,3530.95,1810.2
273,20230118,7,7,42,1,569.53,0.0,569.53,310.2
274,20230118,3,13,20,1,460.51,0.1,414.46,102.0
275,20230118,6,28,546,6,609.0,0.05,3471.3,1770.06
276,20230118,6,2,31,3,706.19,0.0,2118.57,1086.12
277,20230118,1,2,226,2,706.19,0.0,1412.38,724.08
278,20230118,4,10,211,4,655.99,0.0,2623.96,1296.32
279,20230118,2,22,425,6,453.16,0.0,2718.96,1029.36
280,20230118,3,4,256,6,658.36,0.0,3950.16,2116.26
281,20230118,2,21,43,3,392.24,0.0,1176.72,643.68
282,20230118,2,18,557,3,279.59,0.0,838.77,267.36
283,20230118,1,12,174,8,884.49,0.0,7075.92,3968.48
284,20230118,7,2,91,8,706.19,0.0,5649.52,2896.32
285,20230118,4,17,88,5,224.09,0.0,1120.45,451.95
286,20230118,1,7,103,6,569.53,0.0,3417.18,1861.2
287,20230118,1,25,537,3,387.37,0.05,1104.0,280.23
288,20230118,7,19,335,5,101.21,0.0,506.05,224.45
289,20230118,1,17,452,5,224.09,0.1,1008.41,339.91
290,20230118,4,13,279,1,460.51,0.0,460.51,148.05
291,20230118,5,16,572,3,706.85,0.0,2120.55,1223.01
292,20230119,6,28,423,1,609.0,0.05,578.55,295.01
293,20230119,2,21,299,3,392.24,0.0,1176.72,643.68
294,20230119,7,19,135,6,101.21,0.0,607.26,269.34
295,20230119,6,8,558,8,272.27,0.0,2178.16,736.96
296,20230119,1,18,552,6,279.59,0.0,1677.54,534.72
297,20230119,2,29,215,2,354.67,0.1,638.41,265.87
298,20230119,1,3,74,1,100.1,0.0,100.1,57.9
299,20230119,7,13,179,3,460.51,0.0,1381.53,444.15
300,20230119,5,6,282,2,350.77,0.0,701.54,398.6
301,20230119,1,16,248,3,706.85,0.0,2120.55,1223.01
302,20230119,7,15,170,6,134.22,0.0,805.32,409.68
303,20230119,2,10,320,3,655.99,0.0,1967.97,972.24
304,20230119,4,5,321,3,98.3,0.0,294.9,128.1
305,20230119,2,2,58,4,706.19,0.05,2683.52,1306.92
306,20230119,2,5,523,5,98.3,0.0,491.5,213.5
307,20230119,4,5,524,2,98.3,0.0,196.6,85.4
308,20230119,4,29,425,5,354.67,0.0,1773.35,842.0
309,20230119,2,28,526,5,609.0,0.0,3045.0,1627.3
310,20230119,2,10,378,3,655.99,0.2,1574.38,578.65
311,20230119,1,8,526,6,272.27,0.0,1633.62,552.72
312,20230119,5,28,4,4,609.0,0.0,2436.0,1301.84
313,20230120,2,15,391,7,134.22,0.0,939.54,477.96
314,20230120,2,3,455,2,100.1,0.05,190.19,105.79
315,20230120,3,10,349,6,655.99,0.0,3935.94,1944.48
316,20230120,6,12,375,2,884.49,0.0,1768.98,992.12
317,20230120,1,3,303,5,100.1,0.0,500.5,289.5
318,20230120,4,7,76,4,569.53,0.05,2164.21,1126.89
319,20230120,2,1,521,3,545.21,0.0,1635.63,703.5
320,20230120,2,1,244,1,545.21,0.2,436.17,125.46
321,20230120,2,4,363,7,658.36,0.0,4608.52,2468.97
322,20230120,4,28,204,4,609.0,0.0,2436.0,1301.84
323,20230120,6,9,431,1,296.52,0.0,296.52,72.46
324,20230120,6,14,225,5,246.23,0.0,1231.15,284.4
325,20230120,3,13,440,4,460.51,0.0,1842.04,592.2
326,20230120,7,18,255,4,279.59,0.0,1118.36,356.48
327,20230120,3,15,80,1,134.22,0.0,134.22,68.28
328,20230120,6,4,251,3,658.36,0.0,1975.08,1058.13
329,20230120,2,26,347,1,105.66,0.0,105.66,21.7
330,20230120,6,12,321,5,884.49,0.0,4422.45,2480.3
331,20230120,4,24,455,5,249.97,0.0,1249.85,459.6
332,20230120,2,20,155,2,191.18,0.0,382.36,193.1
333,20230120,4,20,528,4,191.18,0.2,611.78,233.26
334,20230121,6,28,439,5,609.0,0.0,3045.0,1627.3
335,20230121,6,14,245,8,246.23,0.0,1969.84,455.04
336,20230121,7,20,42,7,191.18,0.0,1338.26,675.85
337,20230121,4,25,86,3,387.37,0.0,1162.11,338.34
338,20230121,1,1,254,6,545.21,0.0,3271.26,1407.0
339,20230121,4,7,597,3,569.53,0.0,1708.59,930.6
340,20230121,1,26,107,3,105.66,0.0,316.98,65.1
341,20230121,7,28,539,2,609.0,0.05,1157.1,590.02
342,20230121,1,18,420,6,279.59,0.0,1677.54,534.72
343,20230121,7,13,253,3,460.51,0.0,1381.53,444.15
344,20230121,1,30,4,6,83.21,0.0,499.26,137.94
345,20230121,4,5,368,5,98.3,0.0,491.5,213.5
346,20230121,1,29,530,2,354.67,0.0,709.34,336.8
347,20230121,4,16,141,4,706.85,0.0,2827.4,1630.68
348,20230122,2,29,242,7,354.67,0.0,2482.69,1178.8
349,20230122,1,12,159,6,884.49,0.2,4245.55,1914.97
350,20230122,1,30,470,6,83.21,0.0,499.26,137.94
351,20230122,1,18,360,3,279.59,0.0,838.77,267.36
352,20230122,1,14,301,4,246.23,0.0,984.92,227.52
353,20230122,2,1,356,2,545.21,0.0,1090.42,469.0
354,20230122,4,30,157,5,83.21,0.05,395.25,94.15
355,20230122,6,26,511,1,105.66,0.0,105.66,21.7
356,20230122,3,14,505,5,246.23,0.05,1169.59,222.84
357,20230122,6,6,319,7,350.77,0.0,2455.39,1395.1
358,20230122,3,19,126,3,101.21,0.0,303.63,134.67
359,20230122,3,19,420,3,101.21,0.1,273.27,104.31
360,20230122,1,15,75,4,134.22,0.05,510.04,246.28
361,20230122,4,10,136,4,655.99,0.0,2623.96,1296.32
362,20230122,6,6,361,5,350.77,0.0,1753.85,996.5
363,20230122,3,22,433,7,453.16,0.0,3172.12,1200.92
364,20230123,3,27,488,1,636.28,0.0,636.28,320.44
365,20230123,1,13,462,3,460.51,0.0,1381.53,444.15
366,20230123,2,10,421,4,655.99,0.1,2361.56,1033.92
367,20230123,4,18,430,1,279.59,0.0,279.59,89.12
368,20230123,7,1,36,3,545.21,0.0,1635.63,703.5
369,20230123,2,19,534,3,101.21,0.0,303.63,134.67
370,20230123,7,29,596,2,354.67,0.05,673.87,301.33
371,20230123,1,4,332,4,658.36,0.0,2633.44,1410.84
372,20230123,5,19,301,2,101.21,0.0,202.42,89.78
373,20230123,6,4,76,7,658.36,0.0,4608.52,2468.97
374,20230123,2,1,314,5,545.21,0.0,2726.05,1172.5
375,20230123,2,30,426,4,83.21,0.05,316.2,75.32
376,20230123,4,9,33,5,296.52,0.0,1482.6,362.3
377,20230123,5,10,385,3,655.99,0.0,1967.97,972.24
378,20230123,1,10,50,4,655.99,0.0,2623.96,1296.32
379,20230123,7,5,480,5,98.3,0.0,491.5,213.5
380,20230123,2,24,227,3,249.97,0.0,749.91,275.76
381,20230123,4,30,408,1,83.21,0.0,83.21,22.99
382,20230123,1,24,473,1,249.97,0.0,249.97,91.92
383,20230123,2,27,428,4,636.28,0.0,2545.12,1281.76
384,20230123,1,22,98,4,453.16,0.0,1812.64,686.24
385,20230123,2,14,586,3,246.23,0.2,590.95,22.9
386,20230124,7,20,14,8,191.18,0.0,1529.44,772.4
387,20230124,3,24,375,2,249.97,0.0,499.94,183.84
388,20230124,7,24,347,1,249.97,0.2,199.98,41.93
389,20230124,4,23,586,6,726.04,0.0,4356.24,2353.8
390,20230124,6,22,180,5,453.16,0.0,2265.8,857.8
391,20230124,1,24,452,5,249.97,0.0,1249.85,459.6
392,20230124,5,24,267,8,249.97,0.0,1999.76,735.36
393,20230124,3,1,171,1,545.21,0.1,490.69,179.98
394,20230124,5,2,591,3,706.19,0.0,2118.57,1086.12
395,20230124,1,11,51,2,504.67,0.0,1009.34,400.46
396,20230124,7,25,320,2,387.37,0.05,736.0,186.82
397,20230124,7,11,325,4,504.67,0.0,2018.68,800.92
398,20230125,1,27,117,1,636.28,0.0,636.28,320.44
399,20230125,5,20,439,2,191.18,0.0,382.36,193.1
400,20230125,4,11,552,2,504.67,0.0,1009.34,400.46
401,20230125,4,10,396,4,655.99,0.0,2623.96,1296.32
402,20230125,4,30,419,3,83.21,0.0,249.63,68.97
403,20230125,3,1,487,6,545.21,0.05,3107.7,1243.44
404,20230125,4,17,81,8,224.09,0.05,1703.08,633.48
405,20230125,6,30,182,3,83.21,0.1,224.67,44.01
406,20230125,1,11,312,9,504.67,0.0,4542.03,1802.07
407,20230125,2,14,249,6,246.23,0.05,1403.51,267.41
408,20230125,5,3,244,1,100.1,0.0,100.1,57.9
409,20230125,3,23,398,5,726.04,0.0,3630.2,1961.5
410,20230125,2,26,362,2,105.66,0.0,211.32,43.4
411,20230125,6,16,485,7,706.85,0.05,4700.55,2606.29
412,20230126,2,27,168,5,636.28,0.0,3181.4,1602.2
413,20230126,1,20,64,2,191.18,0.1,344.12,154.86
414,20230126,4,26,308,7,105.66,0.05,702.64,114.92
415,20230126,3,14,146,5,246.23,0.0,1231.15,284.4
416,20230126,1,30,517,7,83.21,0.1,524.22,102.68
417,20230126,6,23,141,4,726.04,0.0,2904.16,1569.2
418,20230126,4,14,566,5,246.23,0.0,1231.15,284.4
419,20230126,7,7,504,5,569.53,0.2,2278.12,981.47
420,20230126,1,8,421,2,272.27,0.0,544.54,184.24
421,20230126,4,15,258,1,134.22,0.0,134.22,68.28
422,20230126,6,22,331,3,453.16,0.0,1359.48,514.68
423,20230126,4,12,95,3,884.49,0.0,2653.47,1488.18
424,20230126,7,21,104,1,392.24,0.05,372.63,194.95
425,20230126,1,27,411,7,636.28,0.0,4453.96,2243.08
426,20230126,3,1,366,7,545.21,0.0,3816.47,1641.5
427,20230126,1,30,488,4,83.21,0.0,332.84,91.96
428,20230126,4,14,302,4,246.23,0.0,984.92,227.52
429,20230126,5,9,281,4,296.52,0.05,1126.78,230.54
430,20230127,1,25,489,8,387.37,0.0,3098.96,902.24
431,20230127,7,10,178,5,655.99,0.0,3279.95,1620.4
432,20230127,1,18,219,1,279.59,0.0,279.59,89.12
433,20230127,3,3,191,4,100.1,0.05,380.38,211.58
434,20230127,3,13,41,7,460.51,0.1,2901.21,713.99
435,20230127,1,11,108,2,504.67,0.0,1009.34,400.46
436,20230127,2,20,311,5,191.18,0.0,955.9,482.75
437,20230127,4,14,368,1,246.23,0.0,246.23,56.88
438,20230127,3,20,406,5,191.18,0.0,955.9,482.75
439,20230127,7,1,488,3,545.21,0.2,1308.5,376.37
440,20230127,3,18,304,1,279.59,0.0,279.59,89.12
441,20230127,4,16,25,5,706.85,0.0,3534.25,2038.35
442,20230127,1,30,35,3,83.21,0.0,249.63,68.97
443,20230127,3,12,545,4,884.49,0.0,3537.96,1984.24
444,20230127,1,7,380,6,569.53,0.0,3417.18,1861.2
445,20230127,2,17,12,1,224.09,0.0,224.09,90.39
446,20230127,2,1,475,2,545.21,0.1,981.38,359.96
447,20230127,3,23,489,5,726.04,0.0,3630.2,1961.5
448,20230127,2,7,104,2,569.53,0.0,1139.06,620.4
449,20230127,7,6,413,4,350.77,0.0,1403.08,797.2
450,20230127,6,3,25,2,100.1,0.0,200.2,115.8
451,20230127,1,26,573,4,105.66,0.1,380.38,44.54
