id,raison_sociale,pays_declare,numero_tva,date_saisie,source_saisie
51,Ardent Materials SA,SE,SE593651753601,2024-09-26,portail_client
52,Cobalt Logistics AB,FR,  FR82738452940 ,2024-12-08,import_fournisseur
53,Baltic Technologies BV,LU,LU66484248,2024-03-18,crm
54,Fabrica Foods GmbH,PL,PL-4372432809,2024-05-08,portail_client
55,Verso Foods Lda,LU,LU84259936,2024-06-12,reprise_erp
56,Fabrica Transports SAS,BE,BE0576561070,2024-11-21,portail_client
57,Batavia Materials SARL,NL,NLH28387650B63,2025-02-08,portail_client
58,Metallo Industries NV,FR,FR.76418167474,2024-04-22,reprise_erp
59,Lusitania Transports NV,FR,FR02831068190,2025-09-10,saisie_manuelle
60,Baltic Trading GmbH,DK,DK53927279,2024-04-08,reprise_erp
61,Prima Industries AB,PT,PT710932251,2025-02-24,portail_client
62,Lusitania Distribution GmbH,PL,PL97668891080,2025-02-17,saisie_manuelle
63,Lumen Transports BV,PL,PL5102708610,2024-06-26,crm
64,Ardent Foods Oy,DK,  DK91970813 ,2025-03-29,crm
65,Hanse Transports SAS,BE,BE188076813,2024-08-28,portail_client
66,Atlantic Transports A/S,NL,NL150819395B54,2025-04-10,crm
67,Vela Distribution SpA,PT,PT763047058,2024-04-02,import_fournisseur
68,Vela Industries Sp. z o.o.,FI,FI17O38139,2024-06-30,crm
69,Batavia Technologies GmbH,GB,GB17652291,2024-10-26,reprise_erp
70,Vela Materials SpA,NL,NL 7854 27788B39,2024-11-25,reprise_erp
71,Kappa Industries SARL,PT,PT8G7770771,2025-02-22,saisie_manuelle
72,Delta Logistics GmbH,DK,DK40573564,2025-01-01,reprise_erp
73,Global Industries NV,DK,DK 0213 2524,2024-05-28,reprise_erp
74,Fabrica Services SpA,FI,FI99607012,2025-03-30,import_fournisseur
75,Papyrus Logistics A/S,IT,IT97133603924,2025-09-19,reprise_erp
76,Orion Foods SpA,PT,PT306264951,2024-06-21,portail_client
77,Vertex Distribution SARL,SE,SE-976875634901,2025-08-04,import_fournisseur
78,Baltic Foods Lda,DK,  DK01911376 ,2024-08-09,saisie_manuelle
79,Metallo Transports AB,BE,BE1541337423,2024-09-18,import_fournisseur
80,Azur Technologies SA,UK,UK227979060,2024-03-12,import_fournisseur
81,Vela Consulting SA,IT,,2024-04-20,saisie_manuelle
82,Textil Transports SA,FI,FI38141462,2024-05-26,portail_client
83,Global Services GmbH,BE,BE183858570,2025-02-20,saisie_manuelle
84,Orion Materials SAS,BE,BE1605747896,2024-10-30,import_fournisseur
85,Cobalt Trading Sp. z o.o.,PL,PL9512013884,2024-03-30,portail_client
86,Atlantic Services Sp. z o.o.,NL,NL 2552 60155B67,2024-12-08,crm
87,Granit Industries NV,PT,PT440557399,2025-09-14,reprise_erp
88,Orion Transports AB,SE,SE493462906001,2025-06-11,portail_client
89,Granit Materials AB,PL,PL1609015779,2024-06-15,import_fournisseur
90,Orion Technologies NV,BE,BE0359339468,2024-12-26,saisie_manuelle
91,Atlantic Trading SpA,PT,PT293013730,2024-04-30,reprise_erp
92,Ardent Industries Lda,FR,,2025-04-20,crm
93,Hanse Consulting Lda,IT,IT62989143151,2024-12-07,saisie_manuelle
94,Metallo Trading Oy,DK,DK.88753801,2024-08-04,reprise_erp
95,Global Trading SpA,SE,SE324822512401,2024-03-26,saisie_manuelle
96,Vela Trading AB,IT,IT60495506945,2024-11-21,import_fournisseur
97,Lumen Distribution SA,DK,  DK39736861 ,2024-11-02,saisie_manuelle
98,Metallo Trading AB,FI,FI70957529,2024-10-01,crm
99,Fabrica Services SA,PT,PT116096764,2024-04-30,reprise_erp
100,Baltic Industries BV,LU,LU75426276,2024-08-30,portail_client
101,SA DANONE,FR,FR27552032534,2025-04-03,crm
102,Granit Industries NV,IT,IT 5368 0520532,2024-08-24,saisie_manuelle
103,Cobalt Logistics SpA,LU,LU83327153,2025-09-09,reprise_erp
104,Solaris Technologies SARL,FR,FR53917821806,2025-03-30,crm
105,Solaris Logistics SAS,BE,BE-0982344140,2025-09-19,crm
106,Azur Foods BV,LU,LU 9010 0861,2025-03-30,crm
107,Prima Logistics SAS,PT,PT569236762,2024-03-13,portail_client
108,Vela Materials SpA,NL,nl785427788b39,2024-04-18,crm
109,Papyrus Industries AB,FR,FR65959957042,2024-05-03,reprise_erp
110,Alpine Services GmbH,PT,PT551278056,2025-05-22,saisie_manuelle
111,Delta Distribution AB,NL,NL1587699M6B82,2024-11-09,portail_client
112,Batavia Services Lda,SE,SE-128356938001,2024-01-21,import_fournisseur
113,Cobalt Distribution SpA,FI,FI62150298,2025-06-07,import_fournisseur
114,Granit Industries NV,IT,IT 5368 0520532,2025-03-06,import_fournisseur
115,Metallo Consulting GmbH,BE,BE 1593 163533,2024-07-20,reprise_erp
116,Alpine Transports SpA,DK,DK97604142,2025-04-07,import_fournisseur
117,Lumen Transports Sp. z o.o.,LU,LU 4449 8372,2024-10-15,portail_client
118,Solaris Trading NV,DK,DK13449643,2025-06-14,saisie_manuelle
119,Verso Distribution A/S,SE,SE980721039601,2024-03-18,import_fournisseur
120,Prima Technologies AB,FR,58560322811,2024-09-03,saisie_manuelle
121,Global Technologies SpA,FR,FR34494103231,2024-02-24,saisie_manuelle
122,Corvus Consulting A/S,NL,nl378068659b27,2024-11-10,crm
123,Meridian Transports Sp. z o.o.,NL,NL917547317B75,2024-09-06,saisie_manuelle
124,Lumen Technologies Oy,IT,IT64902006515,2025-04-01,import_fournisseur
125,Fabrica Materials Oy,DK,DK70196921,2024-11-23,crm
126,Verso Technologies A/S,PL,PL7041416675,2024-02-02,crm
127,Global Industries Sp. z o.o.,PT,PT87482735J,2024-06-13,reprise_erp
128,Prima Materials SARL,IT,IT35478856822,2025-01-07,saisie_manuelle
129,Lumen Materials NV,FI,  FI76761092 ,2025-05-07,reprise_erp
130,Metallo Services SpA,FR,FR568210454899,2024-06-22,import_fournisseur
131,Atlantic Materials Sp. z o.o.,BE,BE0500730962,2025-01-29,reprise_erp
132,Vertex Technologies SARL,PT,  PT493659684 ,2024-06-29,reprise_erp
133,Global Materials SAS,FI,FI30917645,2025-03-28,crm
134,Ardent Logistics SpA,DK,DK1521898,2024-05-15,reprise_erp
135,Kappa Logistics Lda,NL,396904956B68,2025-04-01,crm
136,Alpine Materials GmbH,DK,DK5962G374,2024-09-14,crm
137,Global Trading Lda,PT,PT301044317,2024-07-21,crm
138,Lumen Transports BV,PL,PL.5102708610,2024-10-03,saisie_manuelle
139,Hanse Materials Lda,DK,DK291446999,2024-10-14,reprise_erp
140,Atlantic Industries NV,LU,LU12761174,2024-02-03,crm
141,Papyrus Logistics Sp. z o.o.,DK,DK77510710,2024-03-05,saisie_manuelle
142,Papyrus Distribution Sp. z o.o.,LU,LU50491841,2025-09-29,import_fournisseur
143,Kappa Services A/S,NL,NL027373964B85,2024-04-25,import_fournisseur
144,Meridian Technologies BV,FI,FI 4006 8050,2024-01-28,import_fournisseur
145,Meridian Trading Oy,FI,FI76910697,2024-02-25,crm
146,Nord Materials Oy,UK,UK190500864B18,2025-08-25,saisie_manuelle
147,Lumen Consulting SAS,FR,FR88920415533,2024-01-24,crm
148,Alpine Materials Oy,IT,it75599126341,2024-12-06,portail_client
149,Metallo Distribution Lda,NL,NL134317312B81,2024-06-07,import_fournisseur
150,Cobalt Foods SpA,FR,FR96778772967,2024-11-25,import_fournisseur
151,Metallo Transports Sp. z o.o.,PT,PT653055021,2025-05-17,import_fournisseur
152,Delta Trading Sp. z o.o.,ZZ,ZZ06520766,2024-04-14,portail_client
153,Azur Foods Lda,BE,BE0187972912,2024-03-02,import_fournisseur
154,Papyrus Foods SpA,IT,IT43831226378,2025-01-01,saisie_manuelle
155,Vertex Consulting Lda,SE,SE99296861790,2025-07-09,portail_client
156,Metallo Transports AB,BE,BE-1541337423,2024-07-14,saisie_manuelle
157,Lusitania Technologies NV,LU,LU83019402,2025-04-15,crm
158,Ardent Transports SARL,BE,BE0992862406,2025-01-11,reprise_erp
159,Nord Industries SA,PT,PT755024877,2024-02-19,reprise_erp
160,Meridian Consulting SA,PT,PT327020482,2024-09-13,import_fournisseur
161,Batavia Foods SpA,BE,BE0761440201,2024-06-01,import_fournisseur
162,Hanse Transports SpA,DK,dk65315092,2024-12-04,import_fournisseur
163,Solaris Trading AB,IT,38486825359,2025-01-14,import_fournisseur
164,Delta Distribution NV,FI,FI99952131,2024-12-11,portail_client
165,Solaris Trading NV,SE,SE.923117665301,2025-02-18,saisie_manuelle
166,Lusitania Foods AB,FR,FRH3842670445,2024-02-15,portail_client
167,Azur Consulting AB,DK,DK87G17730,2024-02-07,reprise_erp
168,Granit Trading BV,DK,DK663574817,2024-06-28,portail_client
169,Lumen Foods SpA,IT,IT1890180302,2024-10-23,portail_client
170,Cobalt Foods Lda,FR,FR-38430871616,2024-03-01,import_fournisseur
171,Solaris Distribution SA,DK,DK.29918767,2025-02-27,saisie_manuelle
172,Batavia Consulting SA,IT,  IT80179767894 ,2025-02-14,saisie_manuelle
173,Hanse Services Oy,FR,FR30907512024,2024-03-07,portail_client
174,Lusitania Logistics A/S,PL,pl5540309330,2025-09-09,reprise_erp
175,Lumen Logistics SAS,SE,SE394975617901,2025-04-03,reprise_erp
176,Kappa Distribution A/S,NL,NL-689141166B02,2024-05-12,reprise_erp
177,Papyrus Industries Oy,DK,DK41917126,2024-02-28,crm
178,Kappa Logistics NV,PL,PL2996896510,2024-05-19,reprise_erp
179,Verso Transports SA,FR,FR39172019809,2025-05-27,reprise_erp
180,Cobalt Consulting A/S,PL,PL 5279 293795,2024-01-14,import_fournisseur
181,Alpine Services Lda,IT,33139885439,2025-04-03,reprise_erp
182,Vertex Consulting SA,IT,IT 7249 2360010,2024-04-22,crm
183,Global Materials BV,UK,UK558680011,2024-04-22,saisie_manuelle
184,Vertex Logistics SA,SE,SE9682668794H1,2025-03-03,portail_client
185,Lusitania Technologies Sp. z o.o.,SE,SE334202255901,2025-02-13,portail_client
186,Granit Transports BV,LU,LU62557886,2024-04-07,crm
187,Corvus Materials SA,BE,BE0559538362,2024-06-30,portail_client
188,Verso Materials SpA,FI,FI04531570,2024-08-01,import_fournisseur
189,Corvus Consulting NV,IT,88838354509,2024-10-01,import_fournisseur
190,Granit Technologies Lda,FR,FR86227468840,2025-06-09,import_fournisseur
191,Ardent Consulting GmbH,PL,PL599561905,2024-05-12,import_fournisseur
192,Metallo Consulting Sp. z o.o.,DK,DK03190056,2024-01-23,saisie_manuelle
193,Prima Transports GmbH,PL,PL93184850G3,2024-08-29,import_fournisseur
194,Azur Transports SpA,IT,IT64184964091,2024-04-16,crm
195,Prima Consulting Sp. z o.o.,SE,107327005801,2025-01-12,crm
196,Granit Technologies SAS,PT,PT411011570,2024-04-03,saisie_manuelle
197,Atlantic Trading SAS,IT,IT64177915343,2024-05-06,import_fournisseur
198,Hanse Foods Oy,NL,NL599032777B33,2024-02-11,portail_client
199,Ardent Technologies GmbH,DK,DK46441575,2024-04-29,portail_client
200,Global Services GmbH,BE,BE-183858570,2025-01-16,portail_client
201,SA ORANGE,FR,FR89380129866,2024-05-18,crm
202,Papyrus Distribution GmbH,NL,NL689759071B19,2025-09-07,saisie_manuelle
203,Textil Materials SAS,SE,SE230177355801,2025-03-25,saisie_manuelle
204,Fabrica Foods Sp. z o.o.,DK,DK07249330,2025-08-07,reprise_erp
205,Meridian Trading SAS,DK,DK51729846,2025-06-21,reprise_erp
206,Alpine Services SAS,DK,DK38992864,2025-02-28,portail_client
207,Baltic Logistics SA,FI,FI97243485,2024-11-01,reprise_erp
208,Ardent Foods Lda,NL,NL546150676B98,2025-06-18,portail_client
209,Meridian Services SAS,PL,PL9456980487,2024-12-31,saisie_manuelle
210,Hanse Trading AB,FR,FR876M3653073,2024-11-28,reprise_erp
211,Azur Industries AB,PL,PL9176672276,2024-01-11,saisie_manuelle
212,Delta Consulting A/S,LU,LU893H3823,2024-12-23,import_fournisseur
213,Orion Logistics Lda,PT,PT921472579,2025-06-22,reprise_erp
214,Global Trading NV,DK,DK9253M010,2025-08-21,reprise_erp
215,Metallo Transports SARL,DK,DK859008M6,2024-12-09,saisie_manuelle
216,Corvus Trading GmbH,FI,FI 0583 3976,2024-07-03,crm
217,Delta Foods SpA,ZZ,ZZ10353874,2025-07-17,saisie_manuelle
218,Prima Industries Sp. z o.o.,SE,SE542693046601,2024-10-02,portail_client
219,Hanse Foods Oy,FR,FR91654805090,2024-04-18,crm
220,Lumen Technologies Sp. z o.o.,DK,DK71704289,2025-03-12,reprise_erp
221,Ardent Foods SpA,FI,FI72766216,2025-06-15,reprise_erp
222,Fabrica Materials NV,LU,LU-48663471,2025-06-15,saisie_manuelle
223,Meridian Transports BV,DK,DK 6315 1572,2025-05-28,reprise_erp
224,Metallo Technologies BV,BE,be1791740745,2024-02-11,import_fournisseur
225,Vela Materials SARL,IT,IT62197779721,2024-09-01,import_fournisseur
226,Textil Consulting Oy,NL,NL-893896846B45,2024-12-23,crm
227,Nord Distribution SARL,FI,FI20343676,2025-05-28,reprise_erp
228,Meridian Technologies GmbH,BE,BE0843120139,2025-03-18,portail_client
229,Hanse Transports A/S,SE,se740563530601,2024-01-05,reprise_erp
230,Lusitania Transports SARL,ZZ,zz23140153,2024-08-01,import_fournisseur
231,Verso Trading A/S,NL,NL.345546568B48,2024-04-15,crm
232,Azur Technologies AB,FR,FR94156305019,2024-10-16,saisie_manuelle
233,Verso Foods SARL,SE,SE911652802801,2025-01-01,portail_client
234,Metallo Foods NV,PL,PL 4649 740063,2024-09-07,reprise_erp
235,Vertex Industries SARL,PL,PL3995101449,2025-03-05,crm
236,Papyrus Industries Sp. z o.o.,XX,XX06179453771,2025-07-05,saisie_manuelle
237,Orion Logistics Sp. z o.o.,PT,PT321383753,2025-09-28,portail_client
238,Baltic Industries BV,LU,LU75426276,2024-04-26,portail_client
239,Ardent Logistics SAS,DK,DK19343923,2024-09-18,crm
240,Kappa Transports Sp. z o.o.,IT,IT.35410194258,2025-03-16,portail_client
241,Fabrica Services Sp. z o.o.,FI,FI-46642148,2024-04-13,portail_client
242,Lusitania Industries Sp. z o.o.,IT,IT96780897581,2025-08-16,reprise_erp
243,Vertex Logistics Oy,FR,FR10245922806,2025-07-18,saisie_manuelle
244,Granit Consulting AB,PT,PT-793870003,2025-06-30,import_fournisseur
245,Atlantic Industries AB,FI,FI-84208094,2024-12-13,portail_client
246,Vertex Trading Sp. z o.o.,PL,PL9352096268,2024-05-07,crm
247,Atlantic Transports GmbH,PL,5112134613,2024-05-25,saisie_manuelle
248,Azur Foods GmbH,PT,PT741323753,2025-03-05,reprise_erp
249,Delta Transports SAS,PT,PT970252413,2025-08-12,reprise_erp
250,Textil Materials SAS,PL,PL28234607426,2025-07-18,reprise_erp
251,Cobalt Foods Sp. z o.o.,FI,FI94049074,2024-12-02,crm
252,Meridian Trading SAS,FI,FI221839011,2024-03-15,import_fournisseur
253,Ardent Foods GmbH,ZZ,ZZ74937799,2024-11-12,portail_client
254,Delta Transports NV,NL,NL651384926B06,2025-06-02,saisie_manuelle
255,Hanse Technologies NV,SE,SE3660K1902001,2024-11-22,portail_client
256,Solaris Distribution Lda,UK,UK1896323373,2025-03-11,saisie_manuelle
257,Baltic Trading SpA,BE,BE0131172902,2024-10-31,import_fournisseur
258,Vela Distribution AB,BE,BE0246262511,2025-06-15,saisie_manuelle
259,Hanse Materials SAS,PT,PT488210194,2024-03-01,crm
260,Textil Trading Sp. z o.o.,LU,75041556,2025-03-06,crm
261,Vela Distribution Sp. z o.o.,FI,FI36938041,2024-02-24,import_fournisseur
262,Corvus Distribution SpA,BE,0572894866,2024-08-10,crm
263,Nord Industries Sp. z o.o.,LU,LU78431552,2024-11-25,portail_client
264,Ardent Industries Sp. z o.o.,IT,09184526433,2025-08-23,portail_client
265,Cobalt Distribution SpA,FI,fi62150298,2025-09-26,crm
266,Verso Distribution GmbH,NL,NL11178588MB30,2024-07-01,reprise_erp
267,Delta Industries BV,BE,BE0440832930,2024-08-14,portail_client
268,Delta Foods Lda,IT,,2025-04-28,reprise_erp
269,Azur Industries Lda,FR,FR11950538631,2025-06-28,portail_client
270,Global Consulting SAS,LU,22312502,2024-03-07,import_fournisseur
271,Kappa Trading Lda,IT,IT75655623058,2024-08-28,portail_client
272,Orion Consulting AB,NL,NL277420015B39,2024-07-10,reprise_erp
273,Orion Industries NV,NL,NL375574530B49,2024-06-19,reprise_erp
274,Lusitania Technologies SARL,LU,LU36555229,2025-09-15,import_fournisseur
275,Textil Trading GmbH,BE,BE1854530033,2024-11-09,portail_client
276,Vela Logistics Lda,PL,PL1808H15136,2024-04-10,portail_client
277,Vertex Logistics Oy,FR,FR58618155957,2024-08-26,portail_client
278,Baltic Trading NV,FI,FI05644083,2024-04-11,saisie_manuelle
279,Vertex Services SAS,DK,DK43624423,2025-06-08,import_fournisseur
280,Metallo Transports BV,FR,FR305495935677,2025-02-14,saisie_manuelle
281,Kappa Technologies Lda,SE,SE-719592036301,2024-10-24,reprise_erp
282,Global Industries Oy,FR,FR2216648349,2024-11-08,import_fournisseur
283,Solaris Materials SARL,LU,LU99470945,2025-04-25,crm
284,Textil Foods Sp. z o.o.,LU,LU47788039,2024-08-14,portail_client
285,Solaris Trading SpA,BE,BE1325030985,2024-01-03,saisie_manuelle
286,Papyrus Consulting A/S,FR,FR54171718047,2025-09-02,reprise_erp
287,Metallo Materials GmbH,PL,PL9518632542,2024-01-28,reprise_erp
288,Global Transports SAS,PL,PL659568896,2024-06-07,saisie_manuelle
289,Orion Trading SpA,BE,BE-1474673974,2025-03-29,crm
290,Corvus Trading AB,IT,IT.48781892673,2025-01-06,crm
291,Solaris Distribution SARL,BE,BE1773448525,2025-08-08,saisie_manuelle
292,Textil Logistics SpA,PT,PT765384446,2024-05-21,saisie_manuelle
293,Orion Industries AB,LU,LU60874271,2025-06-07,saisie_manuelle
294,Solaris Services NV,LU,13176343,2025-09-26,saisie_manuelle
295,Vela Distribution SpA,BE,BE1709450004,2024-06-25,portail_client
296,Lumen Services A/S,IT,IT54309005491,2025-09-01,saisie_manuelle
297,Fabrica Transports SARL,DK,DK76303401,2024-09-07,saisie_manuelle
298,Papyrus Consulting SA,BE,BE0476913465,2025-03-23,reprise_erp
299,Atlantic Services Sp. z o.o.,PT,PT866009701,2024-05-22,portail_client
300,Granit Logistics SARL,BE,BE05996194555,2024-07-13,portail_client
301,Lumen Technologies Sp. z o.o.,DK,DK 7170 4289,2024-07-18,reprise_erp
302,Orion Consulting Sp. z o.o.,IT,40342102486,2024-02-29,crm
303,Granit Trading Sp. z o.o.,PL,PL7979428755,2024-01-01,import_fournisseur
304,Ardent Consulting SpA,BE,BE1456415903,2024-02-11,crm
305,Atlantic Distribution Lda,FR,FR56747186682,2025-03-28,import_fournisseur
306,Metallo Materials Sp. z o.o.,PT,PT845511130,2024-02-28,crm
307,Lumen Transports NV,PL,PL 8568 728019,2025-07-25,portail_client
308,Prima Trading SA,BE,BE1934866377,2025-08-19,reprise_erp
309,Azur Technologies GmbH,FR,25167984184,2025-07-26,portail_client
310,Orion Transports Oy,LU,LU3620G412,2024-05-20,import_fournisseur
311,Cobalt Materials SARL,PT,PT188414720,2024-05-01,saisie_manuelle
312,Orion Foods A/S,PT,PT3787985371,2025-08-12,portail_client
313,Batavia Consulting SARL,SE,SE684718505201,2024-12-28,portail_client
314,Cobalt Technologies Oy,FI,FI02958919,2024-12-28,saisie_manuelle
315,Meridian Trading Sp. z o.o.,FI,FI-96091436,2024-02-03,crm
316,Hanse Consulting SpA,SE,SE 3902 35178601,2025-02-04,saisie_manuelle
317,Metallo Consulting Oy,DK,dk76929769,2025-08-10,crm
318,Vertex Consulting SA,IT,IT.72492360010,2024-03-14,saisie_manuelle
319,Papyrus Industries SA,BE,0282330178,2024-01-16,import_fournisseur
320,Batavia Services SARL,PL,pl9577232689,2025-07-15,saisie_manuelle
321,Azur Industries Lda,FR,FR11950538631,2025-09-20,saisie_manuelle
322,Delta Services BV,XX,XX8849308444,2024-11-14,portail_client
323,Baltic Transports SA,FR,FR54739394348,2025-06-28,reprise_erp
324,Baltic Materials Oy,LU,LU9271210,2024-08-12,reprise_erp
325,Ardent Technologies NV,BE,be1347703548,2024-04-14,reprise_erp
326,Atlantic Foods A/S,LU,66781043,2024-09-07,import_fournisseur
327,Lusitania Industries AB,FR,fr78227989404,2025-06-01,saisie_manuelle
328,Papyrus Services SA,NL,NL897684825B89,2025-05-12,reprise_erp
329,Cobalt Logistics SpA,SE,SE047468008101,2025-07-13,portail_client
330,Corvus Services Sp. z o.o.,BE,BE0338169615,2024-04-23,saisie_manuelle
331,Fabrica Consulting Oy,IT,  IT98152789941 ,2025-09-14,crm
332,Vela Industries GmbH,DK,DK91719613,2025-02-14,import_fournisseur
333,Fabrica Transports SA,BE,BE0776749472,2024-12-03,reprise_erp
334,Granit Foods Sp. z o.o.,NL,NL443351272B04,2025-07-21,reprise_erp
335,Orion Industries GmbH,GB,GB50379703197,2024-10-09,crm
336,Nord Technologies Lda,PT,PT343884623,2025-09-14,reprise_erp
337,Verso Transports SA,SE,SE604126160001,2024-03-03,saisie_manuelle
338,Papyrus Foods SA,PT,PT986754927,2024-09-04,import_fournisseur
339,Azur Materials SARL,BE,BE 1891 566514,2024-10-23,crm
340,Baltic Consulting SpA,BE,BE1845963448,2024-02-12,import_fournisseur
341,Global Technologies BV,FR,FR93369540151,2025-04-14,saisie_manuelle
342,Hanse Logistics Lda,PL,PL8847900575,2025-03-19,crm
343,Prima Services Sp. z o.o.,DK,DK58271373,2024-02-28,import_fournisseur
344,Global Trading GmbH,PL,  PL4898437228 ,2024-05-07,saisie_manuelle
345,Corvus Consulting Oy,IT,IT.83171512193,2024-02-13,reprise_erp
346,Fabrica Technologies BV,SE,SE015420570201,2024-01-25,crm
347,Kappa Services SAS,IT,IT859502090579,2025-08-29,portail_client
348,Granit Foods SA,UK,UK2219574655,2025-06-03,portail_client
349,Global Industries Sp. z o.o.,PT,PT87482735J,2024-07-05,saisie_manuelle
350,Textil Foods SA,ZZ,ZZ0177743788,2024-09-08,import_fournisseur
351,Delta Logistics SpA,IT,IT1075410979,2024-07-14,import_fournisseur
352,Lumen Logistics SA,PT,  PT114868310 ,2025-03-15,import_fournisseur
353,Atlantic Industries Oy,PL,PL6583478956,2025-09-21,reprise_erp
354,Vela Technologies GmbH,FI,FI14124346,2025-06-29,saisie_manuelle
355,Lumen Services Lda,NL,NL088922844B76,2024-10-26,crm
356,Vertex Consulting BV,LU,LU-71937173,2025-07-26,reprise_erp
357,Verso Services SpA,FR,FR30613496391,2025-03-17,reprise_erp
358,Lumen Trading SARL,SE,SE39O573960001,2024-04-25,reprise_erp
359,Vela Trading SpA,BE,BE1593311775,2025-09-13,reprise_erp
360,Solaris Foods Sp. z o.o.,DK,DK71416039,2024-08-12,saisie_manuelle
361,Fabrica Materials SA,FI,FI.83895910,2024-03-06,crm
362,Fabrica Distribution BV,NL,NL230396677B30,2025-01-13,portail_client
363,Papyrus Technologies Lda,IT,92121081050,2024-12-09,crm
364,Fabrica Foods Oy,FI,FI85473404,2024-08-31,crm
365,Solaris Consulting SARL,FR,FR.44633914443,2024-07-19,crm
366,Vertex Foods AB,DK,DK 1455 8969,2025-07-01,crm
367,Kappa Transports AB,NL,NL337703371B32,2025-04-06,saisie_manuelle
368,Meridian Industries A/S,NL, ,2025-03-17,portail_client
369,Cobalt Transports GmbH,SE,SE574964144401,2024-08-01,import_fournisseur
370,Delta Technologies Sp. z o.o.,FR,FR69851989431,2024-01-15,saisie_manuelle
371,Cobalt Technologies Oy,FI,FI 0295 8919,2024-10-15,portail_client
372,Papyrus Foods Lda,DK,DK31174031,2024-02-21,crm
373,Cobalt Consulting SAS,SE,SE757911028401,2024-07-19,import_fournisseur
374,Fabrica Trading Lda,LU,LU68514220,2024-09-13,portail_client
375,Vertex Materials Oy,FI,FI84832563,2024-07-13,portail_client
376,Ardent Services SpA,FI,FI0282040,2024-09-28,portail_client
